列車番号,601,603,605,607,609,611,613,615,617,619,621,623,625,627,629,633,639,643,647,649
電鉄富山,5:28,5:54,6:28,7:03,7:43,8:12,9:17,9:55,10:55,11:55,12:55,13:55,14:55,15:55,16:47,17:47,18:55,19:55,21:05,22:25
稲荷町,5:32,5:58,6:32,7:07,7:48,8:16,9:21,9:59,10:59,11:59,12:59,13:59,14:59,15:59,16:51,17:51,18:59,19:59,21:09,22:29
栄町,5:33,5:59,6:33,7:08,7:49,8:17,9:22,10:00,11:00,12:00,13:00,14:00,15:00,16:00,16:52,17:52,19:00,20:00,21:10,22:30
不二越,5:34,6:00,6:34,7:09,7:50,8:18,9:23,10:01,11:01,12:01,13:01,14:01,15:01,16:01,16:53,17:53,19:01,20:01,21:11,22:31
大泉,5:36,6:02,6:36,7:11,7:52,8:20,9:25,10:03,11:03,12:03,13:03,14:03,15:03,16:03,16:55,17:55,19:03,20:03,21:13,22:33
南富山,5:40,6:06,6:40,7:15,7:56,8:24,9:29,10:07,11:07,12:07,13:07,14:07,15:07,16:07,17:02,18:02,19:07,20:07,21:17,22:37
朝菜町,5:42,6:08,6:42,7:17,7:58,8:26,9:31,10:09,11:09,12:09,13:09,14:09,15:09,16:09,17:04,18:04,19:09,20:09,21:19,22:39
上堀,5:44,6:10,6:44,7:19,8:00,8:28,9:33,10:11,11:11,12:11,13:11,14:11,15:11,16:11,17:06,18:06,19:11,20:11,21:21,22:41
小杉,5:45,6:11,6:45,7:20,8:01,8:29,9:34,10:12,11:12,12:12,13:12,14:12,15:12,16:12,17:07,18:07,19:12,20:12,21:22,22:42
布市,5:46,6:12,6:46,7:21,8:02,8:30,9:35,10:13,11:13,12:13,13:13,14:13,15:13,16:13,17:08,18:08,19:13,20:13,21:23,22:43
開発,5:48,6:14,6:48,7:23,8:04,8:32,9:37,10:15,11:15,12:15,13:15,14:15,15:15,16:15,17:10,18:10,19:15,20:15,21:25,22:45
月岡,5:53,6:24,6:56,7:31,8:10,8:38,9:42,10:20,11:20,12:20,13:20,14:20,15:20,16:20,17:15,18:15,19:20,20:20,21:30,22:50
大庄,5:55,6:26,6:58,7:33,8:12,8:40,9:44,10:22,11:22,12:22,13:22,14:22,15:22,16:22,17:17,18:17,19:22,20:22,21:32,22:52
上滝,5:58,6:29,7:01,7:36,8:15,8:43,9:47,10:25,11:25,12:25,13:25,14:25,15:25,16:25,17:20,18:20,19:25,20:25,21:35,22:55
大川寺,6:00,6:31,7:03,7:38,8:17,8:45,9:49,10:27,11:27,12:27,13:27,14:27,15:27,16:27,17:22,18:22,19:27,20:27,21:37,22:57
岩峅寺,6:04,6:35,7:07,7:42,8:21,8:49,9:53,10:31,11:31,12:31,13:31,14:31,15:31,16:31,17:26,18:26,19:31,20:31,21:41,23:01
