列車番号,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,634,638,642,646,650
岩峅寺,5:43,6:13,6:45,7:20,7:58,8:25,9:05,10:10,10:43,11:43,12:43,13:43,14:43,15:43,16:40,17:40,18:43,19:43,20:53,21:50
大川寺,5:45,6:15,6:47,7:22,8:00,8:27,9:07,10:12,10:45,11:45,12:45,13:45,14:45,15:45,16:42,17:42,18:45,19:45,20:55,21:52
上滝,5:47,6:17,6:49,7:24,8:02,8:29,9:09,10:14,10:47,11:47,12:47,13:47,14:47,15:47,16:44,17:44,18:47,19:47,20:57,21:54
大庄,5:50,6:20,6:52,7:27,8:05,8:32,9:12,10:17,10:50,11:50,12:50,13:50,14:50,15:50,16:47,17:47,18:50,19:50,21:00,21:57
月岡,5:53,6:24,6:56,7:31,8:09,8:37,9:15,10:20,10:53,11:53,12:53,13:53,14:53,15:53,16:50,17:50,18:53,19:53,21:03,22:00
開発,5:56,6:27,6:59,7:34,8:12,8:40,9:18,10:23,10:56,11:56,12:56,13:56,14:56,15:56,16:53,17:53,18:56,19:56,21:06,22:03
布市,5:58,6:29,7:01,7:36,8:14,8:42,9:20,10:25,10:58,11:58,12:58,13:58,14:58,15:58,16:55,17:55,18:58,19:58,21:08,22:05
小杉,5:59,6:30,7:02,7:37,8:15,8:43,9:21,10:26,10:59,11:59,12:59,13:59,14:59,15:59,16:56,17:56,18:59,19:59,21:09,22:06
上堀,6:00,6:31,7:03,7:38,8:16,8:44,9:22,10:27,11:00,12:00,13:00,14:00,15:00,16:00,16:57,17:57,19:00,20:00,21:10,22:07
朝菜町,6:01,6:32,7:04,7:39,8:17,8:45,9:23,10:28,11:01,12:01,13:01,14:01,15:01,16:01,16:58,17:58,19:01,20:01,21:11,22:08
南富山,6:06,6:39,7:15,7:56,8:25,8:50,9:28,10:33,11:06,12:06,13:06,14:06,15:06,16:06,17:03,18:03,19:06,20:06,21:16,22:13
大泉,6:08,6:41,7:17,7:58,8:27,8:52,9:30,10:35,11:08,12:08,13:08,14:08,15:08,16:08,17:05,18:05,19:08,20:08,21:18,22:15
不二越,6:10,6:43,7:19,8:00,8:29,8:54,9:32,10:37,11:10,12:10,13:10,14:10,15:10,16:10,17:07,18:07,19:10,20:10,21:20,22:17
栄町,6:11,6:44,7:20,8:01,8:30,8:55,9:33,10:38,11:11,12:11,13:11,14:11,15:11,16:11,17:08,18:08,19:11,20:11,21:21,22:18
稲荷町,6:15,6:49,7:23,8:05,8:34,8:58,9:37,10:42,11:15,12:15,13:15,14:15,15:16,16:15,17:12,18:12,19:15,20:15,21:25,22:22
電鉄富山,6:18,6:52,7:27,8:08,8:37,9:02,9:40,10:45,11:18,12:18,13:18,14:18,15:19,16:18,17:15,18:15,19:18,20:18,21:28,22:25
