列車番号,101,TY1,103,105,109,111,1011,TY3,1015,219,TY5,KU21,KU23,KU25,121,1021,227,129,1031,235,137,139,143,145,1047,149,51,153,155,157,1057,59,1059
電鉄富山,5:07,5:15,5:51,6:14,6:49,7:23,7:47,8:00,8:50, ,9:00, , , ,9:40,10:20, ,11:30,12:30, ,13:30,14:30,15:30,16:30,17:10,17:30,18:10,18:35,19:30,20:30,21:30,22:00,23:00
稲荷町,5:10,レ,5:54,6:17,6:52,7:27,7:50,レ,8:53, ,レ, , , ,9:43,10:23, ,11:33,12:33, ,13:33,14:33,15:33,16:33,17:14,17:33,18:14,18:38,19:33,20:33,21:33,22:03,23:03
新庄田中,5:11,レ,5:55,6:18,6:53,7:28,7:51,レ,8:54, ,レ, , , ,9:44,10:24, ,11:34,12:34, ,13:34,14:34,15:34,16:34,17:15,17:34,18:15,18:39,19:34,20:34,21:34,22:04,23:04
東新庄,5:14,レ,5:58,6:21,6:56,7:31,7:54,レ,8:57, ,レ, , , ,9:47,10:29, ,11:37,12:37, ,13:37,14:37,15:37,16:37,17:18,17:37,18:18,18:42,19:37,20:37,21:37,22:07,23:07
越中荏原,5:16,レ,6:00,6:23,6:58,7:33,7:56,レ,9:00, ,レ, , , ,9:49,10:31, ,11:39,12:39, ,13:39,14:39,15:39,16:39,17:20,17:39,18:20,18:44,19:39,20:39,21:39,22:09,23:09
越中三郷,5:20,レ,6:04,6:27,7:01,7:37,8:01,レ,9:04, ,レ, , , ,9:53,10:37, ,11:43,12:43, ,13:43,14:43,15:43,16:43,17:24,17:43,18:25,18:48,19:43,20:43,21:43,22:13,23:13
越中舟橋,5:22,レ,6:06,6:29,7:04,7:39,8:03,レ,9:06, ,レ, , , ,9:55,10:39, ,11:45,12:45, ,13:45,14:45,15:45,16:45,17:26,17:45,18:27,18:50,19:45,20:45,21:45,22:15,23:15
寺田,5:25,5:29,6:10,6:32,7:07,7:42,8:06,8:15,9:09, ,9:15, , , ,9:58,10:42, ,11:48,12:48, ,13:48,14:48,15:48,16:52,17:29,17:48,18:30,18:53,19:48,20:48,21:52,22:18,23:18
越中泉,5:26, ,6:11,6:33,7:08,7:43,8:07, ,9:10, , , , , ,9:59,10:43, ,11:49,12:49, ,13:49,14:49,15:49,16:53,17:30,17:49,18:31,18:54,19:49,20:49,21:53,22:19,23:19
相ノ木,5:28, ,6:13,6:35,7:10,7:45,8:09, ,9:12, , , , , ,10:01,10:45, ,11:51,12:51, ,13:51,14:51,15:51,16:55,17:32,17:51,18:33,18:56,19:51,20:51,21:55,22:21,23:21
新相ノ木,5:29, ,6:14,6:36,7:11,7:46,8:10, ,9:13, , , , , ,10:02,10:46, ,11:52,12:52, ,13:52,14:52,15:52,16:56,17:33,17:52,18:34,18:57,19:52,20:52,21:56,22:22,23:22
上市,5:35, ,6:19,6:43,7:18,7:54,8:13, ,9:16, , , , , ,10:08,10:50, ,12:01,12:56, ,14:01,15:01,16:01,17:01,17:36,18:01,18:40,19:01,20:01,20:57,22:00,22:27,23:25
新宮川,5:37, ,6:21,6:45,7:20,7:56,(止), ,(止), , , , , ,10:10,(止), ,12:03,(止), ,14:03,15:03,16:03,17:03,(止),18:03,18:42,19:03,20:03,20:59,(止),22:29,(止)
中加積,5:41, ,6:26,6:49,7:24,8:02, , , , , , , , ,10:14, , ,12:07, , ,14:07,15:07,16:07,17:07, ,18:07,18:46,19:07,20:07,21:03, ,22:33, 
西加積,5:43, ,6:28,6:51,7:26,8:04, , , , , , , , ,10:16, , ,12:09, , ,14:09,15:09,16:09,17:09, ,18:09,18:48,19:09,20:09,21:05, ,22:35, 
西滑川,5:45, ,6:30,6:53,7:28,8:06, , , , , , , , ,10:18, , ,12:11, , ,14:11,15:11,16:11,17:11, ,18:11,18:50,19:11,20:11,21:07, ,22:37, 
中滑川,5:49, ,6:32,6:59,7:32,8:13, , , , , , , , ,10:20, , ,12:13, , ,14:13,15:13,16:13,17:13, ,18:13,18:52,19:13,20:13,21:09, ,22:39, 
滑川,5:51, ,6:34,7:01,7:34,8:15, , , , , , , , ,10:22, , ,12:15, , ,14:15,15:15,16:15,17:15, ,18:15,18:54,19:15,20:15,21:11, ,22:41, 
浜加積,5:53, ,6:36,7:03,7:36,8:17, , , , , , , , ,10:24, , ,12:17, , ,14:17,15:17,16:17,17:17, ,18:17,18:56,19:17,20:17,21:13, ,22:43, 
