,KU24,1002,4,6,8,110,12,B114,1014,1016,16,118,1018,120,222,1022,1024,126,1026,228,1028,1030,132,1032,234,1034,1036,138,1038,1040,142,1042,144,146,148,150,152,1052,1054,156,158
宇奈月温泉,12:17,NaN,NaN,NaN,NaN,6:00,NaN,6:36,NaN,NaN,NaN,7:15,NaN,8:08,8:45,NaN,NaN,9:45,NaN,10:50,NaN,NaN,11:40,NaN,12:49,NaN,NaN,13:44,NaN,NaN,14:50,NaN,15:40,16:10,16:53,17:33,18:25,NaN,NaN,19:40,20:35
音沢,レ,NaN,NaN,NaN,NaN,6:05,NaN,6:41,NaN,NaN,NaN,7:20,NaN,8:13,8:50,NaN,NaN,9:50,NaN,10:55,NaN,NaN,11:45,NaN,12:54,NaN,NaN,13:49,NaN,NaN,14:55,NaN,15:45,16:15,16:58,17:38,18:30,NaN,NaN,19:45,20:40
内山,レ,NaN,NaN,NaN,NaN,6:07,NaN,6:43,NaN,NaN,NaN,7:22,NaN,8:15,8:52,NaN,NaN,9:52,NaN,10:57,NaN,NaN,11:47,NaN,12:56,NaN,NaN,13:51,NaN,NaN,14:57,NaN,15:47,16:17,17:00,17:40,18:32,NaN,NaN,19:47,20:42
愛本,レ,NaN,NaN,NaN,NaN,6:09,NaN,6:45,NaN,NaN,NaN,7:24,NaN,8:17,8:54,NaN,NaN,9:54,NaN,10:59,NaN,NaN,11:49,NaN,12:58,NaN,NaN,13:53,NaN,NaN,14:59,NaN,15:49,16:19,17:02,17:42,18:34,NaN,NaN,19:49,20:44
下立,レ,NaN,NaN,NaN,NaN,6:11,NaN,6:47,NaN,NaN,NaN,7:26,NaN,8:19,8:56,NaN,NaN,9:56,NaN,11:01,NaN,NaN,11:51,NaN,13:00,NaN,NaN,13:55,NaN,NaN,15:01,NaN,15:51,16:21,17:04,17:44,18:36,NaN,NaN,19:51,20:46
下立口,レ,NaN,NaN,NaN,NaN,6:12,NaN,6:48,NaN,NaN, ,7:27,NaN,8:20,8:57,NaN,NaN,9:57,NaN,11:02,NaN,NaN,11:52,NaN,13:01,NaN,NaN,13:56,NaN,NaN,15:02,NaN,15:52,16:22,17:05,17:45,18:37,NaN,NaN,19:52,20:47
浦山,レ,NaN,NaN,NaN,NaN,6:16,NaN,6:52,NaN,NaN,7:13,7:31,NaN,8:24,9:01,NaN,NaN,10:01,NaN,11:06,NaN,NaN,11:58,NaN,13:05,NaN,NaN,14:01,NaN,NaN,15:06,NaN,15:56,16:27,17:09,17:49,18:41,NaN,NaN,19:56,20:51
栃屋,レ,NaN,NaN,NaN,NaN,6:18,NaN,6:54,NaN,NaN,7:15,7:33,NaN,8:26,9:03,NaN,NaN,10:03,NaN,11:08,NaN,NaN,12:00,NaN,13:07,NaN,NaN,14:03,NaN,NaN,15:08,NaN,15:58,16:29,17:11,17:51,18:43,NaN,NaN,19:58,20:53
若栗,レ,NaN,NaN,NaN,NaN,6:19,NaN,6:55,NaN,NaN,7:16,7:34,NaN,8:27,9:04,NaN,NaN,10:04,NaN,11:09,NaN,NaN,12:01,NaN,13:08,NaN,NaN,14:04,NaN,NaN,15:09,NaN,15:59,16:30,17:12,17:52,18:44,NaN,NaN,19:59,20:54
舌山,レ,NaN,NaN,NaN,NaN,6:23,NaN,6:57,NaN,NaN,7:19,7:37,NaN,8:29,9:08,NaN,NaN,10:06,NaN,11:15,NaN,NaN,12:07,NaN,13:11,NaN,NaN,14:08,NaN,NaN,15:11,NaN,16:01,16:32,17:14,17:54,18:46,NaN,NaN,20:01,20:56
新黒部,12:34,NaN,NaN,NaN,NaN,6:24,NaN,6:58,NaN,NaN,7:20,7:38,NaN,8:30,9:09,NaN,NaN,10:07,NaN,11:16,NaN,NaN,12:08,NaN,13:12,NaN,NaN,14:09,NaN,NaN,15:12,NaN,16:02,16:33,17:15,17:55,18:47,NaN,NaN,20:02,20:57
長屋,レ,NaN,NaN,NaN,NaN,6:25,NaN,6:59,NaN,NaN,7:21,7:39,NaN,8:31,9:10,NaN,NaN,10:08,NaN,11:17,NaN,NaN,12:09,NaN,13:13,NaN,NaN,14:10,NaN,NaN,15:13,NaN,16:03,16:34,17:16,17:56,18:48,NaN,NaN,20:03,20:58
