列車番号,1002,4,6,110,1010,114,16,118,1018,120,AP2,KU22,KU24,KU26,TY2,KU28,TY4,1022,126,228,1028,132,1034,236,138,142,144,148,1048,150,152,156,158
宇奈月温泉, , , ,6:00, ,6:36, ,7:15, ,8:08,9:17,10:20,12:17,16:03, ,18:10, , ,9:45,10:50, ,11:40, ,12:49,13:44,14:45,15:45,16:38, ,17:40,18:45,19:45,20:35
音沢, , , ,6:05, ,6:41, ,7:20, ,8:13,レ,レ,レ,レ, ,レ, , ,9:50,10:55, ,11:45, ,12:54,13:49,14:50,15:50,16:43, ,17:45,18:50,19:50,20:40
内山, , , ,6:07, ,6:43, ,7:22, ,8:15,レ,レ,レ,レ, ,レ, , ,9:52,10:57, ,11:47, ,12:56,13:51,14:52,15:52,16:45, ,17:47,18:52,19:52,20:42
愛本, , , ,6:09, ,6:45, ,7:24, ,8:17,レ,レ,レ,レ, ,レ, , ,9:54,10:59, ,11:49, ,12:58,13:53,14:54,15:54,16:47, ,17:49,18:54,19:54,20:44
下立, , , ,6:11, ,6:47, ,7:26, ,8:19,レ,レ,レ,レ, ,レ, , ,9:56,11:01, ,11:51, ,13:00,13:55,14:56,15:56,16:49, ,17:51,18:56,19:56,20:46
下立口, , , ,6:12, ,6:48, ,7:27, ,8:20,レ,レ,レ,レ, ,レ, , ,9:57,11:02, ,11:52, ,13:01,13:56,14:57,15:57,16:50, ,17:52,18:57,19:57,20:47
浦山, , , ,6:16, ,6:52, ,7:31, ,8:24,レ,レ,レ,レ, ,レ, , ,10:01,11:06, ,11:58, ,13:05,14:01,15:02,16:02,16:55, ,17:56,19:01,20:02,20:51
栃屋, , , ,6:18, ,6:54, ,7:33, ,8:26,レ,レ,レ,レ, ,レ, , ,10:03,11:08, ,12:00, ,13:07,14:03,15:04,16:04,16:57, ,17:58,19:03,20:04,20:53
若栗, , , ,6:19, ,6:55, ,7:34, ,8:27,レ,レ,レ,レ, ,レ, , ,10:04,11:09, ,12:01, ,13:08,14:04,15:05,16:05,16:58, ,17:59,19:04,20:05,20:54
舌山, , , ,6:23, ,6:57, ,7:38, ,8:29,レ,レ,レ,レ, ,レ, , ,10:06,11:15, ,12:07, ,13:11,14:10,15:07,16:07,17:06, ,18:01,19:06,20:07,20:56
新黒部, , , ,6:24, ,6:58, ,7:39, ,8:30,9:34,10:37,12:34,16:20, ,18:27, , ,10:07,11:16, ,12:08, ,13:12,14:11,15:08,16:08,17:07, ,18:02,19:07,20:08,20:57
長屋, , , ,6:25, ,6:59, ,7:40, ,8:31,レ,レ,レ,レ, ,レ, , ,10:08,11:17, ,12:09, ,13:13,14:12,15:09,16:09,17:08, ,18:03,19:08,20:09,20:58
荻生, , , ,6:27, ,7:01, ,7:42, ,8:33,レ,レ,レ,レ, ,レ, , ,10:10,11:19, ,12:11, ,13:15,14:14,15:11,16:11,17:10, ,18:05,19:10,20:11,21:00
東三日市, , , ,6:28, ,7:02, ,7:43, ,8:34,レ,レ,レ,レ, ,レ, , ,10:11,11:20, ,12:12, ,13:16,14:15,15:12,16:12,17:11, ,18:06,19:11,20:12,21:01
電鉄黒部, ,5:24,5:55,6:32, ,7:07,7:30,7:47, ,8:50,9:40,(止),(止),(止), ,(止), , ,10:17,11:24, ,12:19, ,13:20,14:19,15:19,16:19,17:19, ,18:11,19:19,20:19,21:06
電鉄石田, ,5:27,5:58,6:35, ,7:10,7:33,7:50, ,8:53,レ, , , , , , , ,10:20,11:27, ,12:22, ,13:23,14:22,15:22,16:22,17:22, ,18:14,19:22,20:22,21:09
経田, ,5:29,6:00,6:37, ,7:12,7:35,7:52, ,8:55,レ, , , , , , , ,10:22,11:29, ,12:24, ,13:25,14:24,15:24,16:24,17:24, ,18:16,19:24,20:24,21:11
新魚津, ,5:34,6:05,6:42, ,7:17,7:40,7:57, ,9:00,9:48, , , , , , , ,10:27,11:34, ,12:30, ,13:30,14:30,15:30,16:30,17:30, ,18:21,19:30,20:30,21:16
電鉄魚津, ,5:36,6:07,6:44, ,7:19,7:42,7:59, ,9:02,9:50, , , , , , , ,10:29,(止), ,12:32, ,(止),14:32,15:32,16:32,17:32, ,18:23,19:32,20:32,21:18
西魚津, ,5:38,6:09,6:47, ,7:21,7:45,8:02, ,9:04,レ, , , , , , , ,10:32, , ,12:34, , ,14:34,15:34,16:34,17:34, ,18:26,19:34,20:34,21:20
越中中村, ,5:40,6:11,6:49, ,7:23,7:47,8:04, ,9:06,レ, , , , , , , ,10:34, , ,12:36, , ,14:36,15:36,16:36,17:36, ,18:28,19:36,20:36,21:22
早月加積, ,5:43,6:14,6:52, ,7:26,7:50,8:07, ,9:09,レ, , , , , , , ,10:37, , ,12:39, , ,14:39,15:39,16:39,17:39, ,18:31,19:39,20:39,21:25
浜加積, ,5:44,6:15,6:53, ,7:27,7:51,8:08, ,9:10,レ, , , , , , , ,10:38, , ,12:40, , ,14:40,15:40,16:40,17:40, ,18:32,19:40,20:40,21:26
滑川, ,5:46,6:17,6:55, ,7:29,7:53,8:10, ,9:12,レ, , , , , , , ,10:40, , ,12:42, , ,14:42,15:42,16:42,17:42, ,18:34,19:42,20:42,21:28
中滑川, ,5:49,6:20,6:58, ,7:33,7:56,8:13, ,9:16,9:59, , , , , , , ,10:43, , ,12:45, , ,14:45,15:45,16:45,17:45, ,18:37,19:45,20:45,21:31
西滑川, ,5:50,6:21,6:59, ,7:34,7:57,8:14, ,9:17,レ, , , , , , , ,10:44, , ,12:46, , ,14:46,15:46,16:46,17:46, ,18:38,19:46,20:46,21:32
西加積, ,5:52,6:23,7:01, ,7:36,7:59,8:16, ,9:19,レ, , , , , , , ,10:46, , ,12:48, , ,14:48,15:48,16:48,17:48, ,18:40,19:48,20:48,21:34
