列車番号,KU22,KU24,TY2,1002,4,6,8,110,12,B114,1014,1016,16,118,1018,120,222,1022,1024,126,1026,228,1028,1030,132,1032,234,1034,1036,138,1038,1040,142,1042,144,146,148,150,342,152,1052,1054,156,158
宇奈月温泉,10:20,12:17, , , , , ,6:00, ,6:36, , , ,7:15, ,8:08,8:45, , ,9:45, ,10:50, , ,11:40, ,12:49, , ,13:44, , ,14:50, ,15:40,16:10,16:53,17:33, ,18:25, , ,19:40,20:35
音沢,10:22,12:19, , , , , ,6:05, ,6:41, , , ,7:20, ,8:13,8:50, , ,9:50, ,10:55, , ,11:45, ,12:54, , ,13:49, , ,14:55, ,15:45,16:15,16:58,17:38, ,18:30, , ,19:45,20:40
内山,10:24,12:21, , , , , ,6:07, ,6:43, , , ,7:22, ,8:15,8:52, , ,9:52, ,10:57, , ,11:47, ,12:56, , ,13:51, , ,14:57, ,15:47,16:17,17:00,17:40, ,18:32, , ,19:47,20:42
愛本,10:26,12:23, , , , , ,6:09, ,6:45, , , ,7:24, ,8:17,8:54, , ,9:54, ,10:59, , ,11:49, ,12:58, , ,13:53, , ,14:59, ,15:49,16:19,17:02,17:42, ,18:34, , ,19:49,20:44
下立,10:28,12:25, , , , , ,6:11, ,6:47, , , ,7:26, ,8:19,8:56, , ,9:56, ,11:01, , ,11:51, ,13:00, , ,13:55, , ,15:01, ,15:51,16:21,17:04,17:44, ,18:36, , ,19:51,20:46
下立口,10:30,12:27, , , , , ,6:12, ,6:48, , , ,7:27, ,8:20,8:57, , ,9:57, ,11:02, , ,11:52, ,13:01, , ,13:56, , ,15:02, ,15:52,16:22,17:05,17:45, ,18:37, , ,19:52,20:47
浦山,10:32,12:29, , , , , ,6:16, ,6:52, , ,7:13,7:31, ,8:24,9:01, , ,10:01, ,11:06, , ,11:58, ,13:05, , ,14:01, , ,15:06, ,15:56,16:27,17:09,17:49, ,18:41, , ,19:56,20:51
栃屋,10:34,12:31, , , , , ,6:18, ,6:54, , ,7:15,7:33, ,8:26,9:03, , ,10:03, ,11:08, , ,12:00, ,13:07, , ,14:03, , ,15:08, ,15:58,16:29,17:11,17:51, ,18:43, , ,19:58,20:53
若栗,10:36,12:33, , , , , ,6:19, ,6:55, , ,7:16,7:34, ,8:27,9:04, , ,10:04, ,11:09, , ,12:01, ,13:08, , ,14:04, , ,15:09, ,15:59,16:30,17:12,17:52, ,18:44, , ,19:59,20:54
舌山,10:37,12:34, , , , , ,6:23, ,6:57, , ,7:19,7:37, ,8:29,9:08, , ,10:06, ,11:15, , ,12:07, ,13:11, , ,14:08, , ,15:11, ,16:01,16:32,17:14,17:54, ,18:46, , ,20:01,20:56
新黒部,10:37,12:34, , , , , ,6:24, ,6:58, , ,7:20,7:38, ,8:30,9:09, , ,10:07, ,11:16, , ,12:08, ,13:12, , ,14:09, , ,15:12, ,16:02,16:33,17:15,17:55, ,18:47, , ,20:02,20:57
長屋,10:37,12:33, , , , , ,6:25, ,6:59, , ,7:21,7:39, ,8:31,9:10, , ,10:08, ,11:17, , ,12:09, ,13:13, , ,14:10, , ,15:13, ,16:03,16:34,17:16,17:56, ,18:48, , ,20:03,20:58
荻生,10:37,12:34, , , , , ,6:27, ,7:01, , ,7:23,7:41, ,8:33,9:12, , ,10:10, ,11:19, , ,12:11, ,13:15, , ,14:12, , ,15:15, ,16:05,16:36,17:18,17:58, ,18:50, , ,20:05,21:00
東三日市,10:37,12:34, , , , , ,6:28, ,7:02, , ,7:24,7:42, ,8:34,9:13, , ,10:11, ,11:20, , ,12:12, ,13:16, , ,14:13, , ,15:16, ,16:06,16:37,17:19,17:59, ,18:51, , ,20:06,21:01
電鉄黒部,10:43,12:40, , ,5:24,5:55, ,6:32, ,7:07, , ,7:30,7:47, ,8:41,9:17, , ,10:16, ,11:24, , ,12:16, ,13:20, , ,14:17, , ,15:40, ,16:12,16:50,17:24,18:04, ,18:56, , ,20:12,21:06
電鉄石田, , , , ,5:27,5:58, ,6:35, ,7:10, , ,7:33,7:50, ,8:44,9:20, , ,10:19, ,11:27, , ,12:19, ,13:23, , ,14:20, , ,15:43, ,16:15,16:53,17:27,18:07, ,18:59, , ,20:15,21:09
経田, , , , ,5:29,6:00, ,6:37, ,7:12, , ,7:35,7:52, ,8:46,9:22, , ,10:21, ,11:29, , ,12:21, ,13:25, , ,14:22, , ,15:45, ,16:17,16:55,17:29,18:09, ,19:01, , ,20:17,21:11
新魚津, , , , ,5:34,6:05, ,6:42, ,7:18, , ,7:40,7:57, ,8:51,9:27, , ,10:26, ,11:34, , ,12:27, ,13:29, , ,14:28, , ,15:50, ,16:22,17:00,17:36,18:14, ,19:06, , ,20:22,21:16
電鉄魚津, , , , ,5:36,6:07, ,6:44, ,7:20, , ,7:42,7:59, ,8:53,(止), , ,10:28, ,(止), , ,12:29, ,(止), , ,14:30, , ,15:52, ,16:24,17:02,17:38,18:16, ,19:08, , ,20:24,21:18
西魚津, , , , ,5:38,6:09, ,6:47, ,7:22, , ,7:45,8:01, ,8:55, , , ,10:32, , , , ,12:31, , , , ,14:32, , ,15:55, ,16:31,17:04,17:40,18:18, ,19:10, , ,20:26,21:20
越中中村, , , , ,5:40,6:11, ,6:49, ,レ, , ,7:47,8:03, ,8:57, , , ,10:34, , , , ,12:33, , , , ,14:34, , ,15:57, ,16:33,17:06,17:42,18:20, ,19:12, , ,20:28,21:22
早月加積, , , , ,5:43,6:14, ,6:52, ,レ, , ,7:50,8:06, ,9:00, , , ,10:37, , , , ,12:36, , , , ,14:37, , ,16:00, ,16:36,17:09,17:45,18:23, ,19:15, , ,20:32,21:25
浜加積, , , , ,5:44,6:15, ,6:53, ,レ, , ,7:51,8:07, ,9:01, , , ,10:38, , , , ,12:37, , , , ,14:38, , ,16:01, ,16:37,17:10,17:46,18:24, ,19:16, , ,20:33,21:26
滑川, , , , ,5:46,6:17, ,6:55, ,7:28, , ,7:53,8:09, ,9:03, , , ,10:40, , , , ,12:39, , , , ,14:40, , ,16:03, ,16:39,17:12,17:48,18:26, ,19:18, , ,20:35,21:28
中滑川, , , , ,5:49,6:20,6:44,6:58,7:17,7:31, , ,7:56,8:12, ,9:07, , , ,10:44, , , , ,12:42, , , , ,14:43, , ,16:06, ,16:43,17:20,17:52,18:30, ,19:22, , ,20:38,21:31
西滑川, , , , ,5:50,6:21,6:45,6:59,7:18,7:32, , ,7:57,8:13, ,9:08, , , ,10:45, , , , ,12:43, , , , ,14:44, , ,16:07, ,16:44,17:21,17:53,18:31, ,19:23, , ,20:39,21:32
西加積, , , , ,5:52,6:23,6:47,7:01,7:20,レ, , ,7:59,8:15, ,9:10, , , ,10:47, , , , ,12:45, , , , ,14:46, , ,16:09, ,16:46,17:23,17:55,18:33, ,19:25, , ,20:41,21:34
中加積, , , , ,5:55,6:26,6:50,7:06,7:24,7:36, , ,8:03,8:19, ,9:13, , , ,10:50, , , , ,12:48, , , , ,14:49, , ,16:13, ,16:49,17:26,17:58,18:36, ,19:28, , ,20:44,21:37
新宮川, , , , ,5:57,6:28,6:52,7:08,7:26,7:38, , ,8:05,8:21, ,9:15, , , ,10:52, , , , ,12:50, , , , ,14:51, , ,16:15, ,16:51,17:28,18:00,18:38, ,19:30, , ,20:46,21:39
上市, , , ,5:32,6:03,6:39,6:59,7:14,7:33,7:50,8:00, ,8:17,8:29,8:51,9:22, ,9:47,10:22,11:00,11:22, ,12:00,12:22,13:00,13:22, ,14:00,14:22,14:57,15:30,16:01,16:23,16:41,17:05,17:36,18:07,18:46, ,19:35,20:10,20:40,20:57,21:45
新相ノ木, , , ,5:34,6:05,6:41,7:01,7:16,7:35,レ,8:02, ,8:19,8:31,8:53,9:24, ,9:49,10:24,11:02,11:24, ,12:02,12:24,13:02,13:24, ,14:02,14:24,14:59,15:32,16:03,16:25,16:43,17:07,17:38,18:09,18:48, ,19:37,20:12,20:42,20:59,21:47
相ノ木, , , ,5:35,6:06,6:42,7:02,7:17,7:36,レ,8:03, ,8:20,8:32,8:54,9:25, ,9:50,10:25,11:03,11:25, ,12:03,12:25,13:03,13:25, ,14:03,14:25,15:00,15:33,16:04,16:26,16:44,17:08,17:39,18:10,18:49, ,19:38,20:13,20:43,21:00,21:48
越中泉, , , ,5:36,6:07,6:43,7:03,7:18,7:37,レ,8:04, ,8:21,8:33,8:55,9:26, ,9:51,10:26,11:04,11:26, ,12:04,12:26,13:04,13:26, ,14:04,14:26,15:01,15:34,16:05,16:27,16:45,17:09,17:40,18:11,18:50, ,19:39,20:14,20:44,21:01,21:49
