train_number,種別,行き先,電鉄富山,稲荷町,新庄田中,東新庄,越中荏原,越中三郷,越中舟橋,寺田,稚子塚,田添,五百石,榎町,下段,釜ヶ淵,沢中山,岩峅寺,横江,千垣,有峰口,本宮,立山
8301,普通,岩峅寺,5:26:00,5:29:00,5:30:00,5:33:00,5:35:00,5:38:00,5:41:00,5:44:00,5:46:00,5:47:00,5:52:00,5:53:00,5:55:00,5:57:00,5:59:00,6:03:00,NaN,NaN,NaN,NaN,NaN
303,普通,立山,5:57:00,6:00:00,6:01:00,6:04:00,6:07:00,6:10:00,6:12:00,6:16:00,6:18:00,6:19:00,6:23:00,6:24:00,6:26:00,6:28:00,6:30:00,6:40:00,6:44,6:50,6:53:00,6:56,7:07:00
1305,普通,岩峅寺,6:24:00,6:27:00,6:28:00,6:31:00,6:33:00,6:37:00,6:39:00,6:48:00,6:50:00,6:51:00,6:55:00,6:56:00,6:58:00,7:00:00,7:02:00,7:06:00,NaN,NaN,NaN,NaN,NaN
307,普通,立山,7:06:00,7:09:00,7:10:00,7:13:00,7:17:00,7:20:00,7:23:00,7:29:00,7:31:00,7:32:00,7:36:00,7:37:00,7:39:00,7:41:00,7:43:00,7:50:00,7:54,8:00,8:03:00,8:06,8:17:00
1309,普通,岩峅寺,7:37:00,7:40:00,7:41:00,7:44:00,7:46:00,7:50:00,7:52:00,7:59:00,8:01:00,8:02:00,8:06:00,8:07:00,8:09:00,8:11:00,8:13:00,8:17:00,NaN,NaN,NaN,NaN,NaN
311,普通,立山,8:20:00,8:23:00,8:24:00,8:27:00,8:29:00,8:33:00,8:35:00,8:38:00,8:40:00,8:41:00,8:45:00,8:46:00,8:48:00,8:50:00,8:52:00,8:57:00,9:01, ,9:10:00,9:13,9:24:00
8313,普通,岩峅寺,9:20:00,9:23:00,9:24:00,9:28:00,9:30:00,9:34:00,9:36:00,9:39:00,9:41:00,9:42:00,9:46:00,9:47:00,9:49:00,9:51:00,9:53:00,10:00:00,NaN,NaN,NaN,NaN,NaN
8315,普通,岩峅寺,10:50:00,10:53:00,10:54:00,10:57:00,10:59:00,11:03:00,11:05:00,11:09:00,11:11:00,11:12:00,11:16:00,11:17:00,11:19:00,11:21:00,11:23:00,11:30:00,NaN,NaN,NaN,NaN,NaN
8317,普通,岩峅寺,11:50:00,11:53:00,11:54:00,11:57:00,11:59:00,12:03:00,12:05:00,12:09:00,12:11:00,12:12:00,12:16:00,12:17:00,12:19:00,12:21:00,12:23:00,12:30:00,NaN,NaN,NaN,NaN,NaN
8319,普通,岩峅寺,12:50:00,12:53:00,12:54:00,12:57:00,12:59:00,13:03:00,13:05:00,13:09:00,13:11:00,13:12:00,13:16:00,13:17:00,13:19:00,13:21:00,13:23:00,13:30:00,NaN,NaN,NaN,NaN,NaN
8321,普通,岩峅寺,13:22:00,13:25:00,13:26:00,13:29:00,13:31:00,13:35:00,13:37:00,13:48:00,13:50:00,13:51:00,13:55:00,13:56:00,13:58:00,14:00:00,14:02:00,14:06:00,NaN,NaN,NaN,NaN,NaN
