列車番号,TY1,8301,303,1305,307,1309,311,TY3,8313,TY5,8315,8317,8319,8321,323,8325,327,1329,331,1333,335,1337,339,1341,343,1345,347,1349,1351
電鉄富山,5:15,5:26,5:57,6:24,7:06,7:37,8:20,9:00,9:20,10:00,10:50,11:50,12:50,13:22,13:50,14:48,15:20,15:50,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:25,21:05,22:20
稲荷町,レ,5:29,6:00,6:27,7:09,7:40,8:23,レ,9:23,レ,10:53,11:53,12:53,13:25,13:53,14:51,15:23,15:53,16:28,16:58,17:28,17:58,18:28,18:58,19:28,19:58,20:28,21:08,22:23
新庄田中,レ,5:30,6:01,6:28,7:10,7:41,8:24,レ,9:24,レ,10:54,11:54,12:54,13:26,13:54,14:52,15:24,15:54,16:29,16:59,17:29,17:59,18:29,18:59,19:29,19:59,20:29,21:09,22:24
東新庄,レ,5:33,6:04,6:31,7:13,7:44,8:27,レ,9:28,レ,10:57,11:57,12:57,13:29,13:57,14:55,15:27,15:57,16:32,17:02,17:32,18:02,18:32,19:02,19:32,20:02,20:32,21:12,22:27
越中荏原,レ,5:35,6:07,6:33,7:17,7:46,8:29,レ,9:30,レ,10:59,11:59,12:59,13:31,13:59,14:57,15:29,15:59,16:34,17:04,17:34,18:04,18:34,19:04,19:34,20:04,20:34,21:14,22:29
越中三郷,レ,5:38,6:10,6:37,7:20,7:50,8:33,レ,9:34,レ,11:03,12:03,13:03,13:35,14:03,15:01,15:33,16:03,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08,20:38,21:18,22:33
越中舟橋,レ,5:41,6:12,6:39,7:23,7:52,8:35,レ,9:36,レ,11:05,12:05,13:05,13:37,14:05,15:03,15:35,16:05,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10,20:40,21:20,22:35
寺田,5:29,5:44,6:16,6:48,7:29,7:59,8:38,9:15,9:39,10:18,11:09,12:09,13:09,13:48,14:09,15:09,15:39,16:10,16:43,17:14,17:45,18:17,18:43,19:13,19:46,20:13,20:43,21:24,22:38
稚子塚,レ,5:46,6:18,6:50,7:31,8:01,8:40,レ,9:41,レ,11:11,12:11,13:11,13:50,14:11,15:11,15:41,16:12,16:45,17:16,17:47,18:19,18:45,19:15,19:48,20:15,20:45,21:26,22:40
田添,レ,5:47,6:19,6:51,7:32,8:02,8:41,レ,9:42,レ,11:12,12:12,13:12,13:51,14:12,15:12,15:42,16:13,16:46,17:17,17:48,18:20,18:46,19:16,19:49,20:16,20:46,21:27,22:41
五百石,5:33,5:52,6:23,6:55,7:36,8:06,8:45,9:19,9:46,10:22,11:16,12:16,13:16,13:55,14:16,15:16,15:46,16:17,16:50,17:21,17:52,18:24,18:51,19:20,19:53,20:20,20:50,21:31,22:45
榎町,レ,5:53,6:24,6:56,7:37,8:07,8:46,レ,9:47,レ,11:17,12:17,13:17,13:56,14:17,15:17,15:47,16:18,16:51,17:22,17:53,18:25,18:52,19:21,19:54,20:21,20:51,21:32,22:46
下段,レ,5:55,6:26,6:58,7:39,8:09,8:48,レ,9:49,レ,11:19,12:19,13:19,13:58,14:19,15:19,15:49,16:20,16:53,17:24,17:55,18:27,18:54,19:23,19:56,20:23,20:53,21:34,22:48
釜ヶ淵,レ,5:57,6:28,7:00,7:41,8:11,8:50,レ,9:51,レ,11:21,12:21,13:21,14:00,14:21,15:21,15:51,16:22,16:55,17:26,17:57,18:29,18:56,19:25,19:58,20:25,20:55,21:36,22:50
沢中山,レ,5:59,6:30,7:02,7:43,8:13,8:52,レ,9:53,レ,11:23,12:23,13:23,14:02,14:23,15:23,15:53,16:24,16:57,17:28,17:59,18:31,18:58,19:27,20:00,20:27,20:57,21:38,22:52
岩峅寺,5:41,6:03,6:40,7:06,7:50,8:17,8:57,9:28,10:00,10:31,11:30,12:30,13:30,14:06,14:28,15:30,16:02,16:28,17:05,17:32,18:05,18:35,19:05,19:31,20:05,20:31,21:05,21:42,22:56
横江,レ,(止),6:44,(止),7:54,(止),9:01,レ,10:04,レ,11:34,12:34,13:34,(止),14:32,15:34,16:06,(止),17:09,(止),18:09,(止),19:09,(止),20:09,(止),21:09,(止),(止)
千垣,レ, ,6:50, ,8:00, ,9:07,レ,10:10,レ,11:40,12:40,13:40, ,14:38,15:40,16:12, ,17:15, ,18:15, ,19:15, ,20:15, ,21:15, , 
有峰口,5:54, ,6:53, ,8:03, ,9:10,9:43,10:14,10:43,11:43,12:43,13:43, ,14:41,15:44,16:16, ,17:18, ,18:18, ,19:18, ,20:18, ,21:18, , 
本宮,レ, ,6:56, ,8:06, ,9:13,レ,10:17,レ,11:46,12:46,13:46, ,14:44,15:47,16:19, ,17:21, ,18:21, ,19:21, ,20:21, ,21:21, , 
立山,6:08, ,7:07, ,8:17, ,9:24,9:56,10:28,10:57,11:57,12:57,13:57, ,14:55,15:58,16:30, ,17:32, ,18:32, ,19:32, ,20:32, ,21:32,,
