列車番号,1302,8304,306,1308,310,1312,314,316,8318,8320,8322,8324,8326,8328,330,TY2,1332,334,1336,338,1340,342,1344,346,1348,350,1352
立山, ,5:40,6:13, ,7:22, ,8:23,9:29,10:00,11:00,12:00,13:00,14:00,15:00,15:30,16:03, ,16:38, ,17:38, ,18:38, ,19:38, ,20:38, 
本宮, ,5:51,6:24, ,7:33, ,8:34,9:40,10:11,11:11,12:11,13:11,14:11,15:11,15:41,レ, ,16:49, ,17:49, ,18:49, ,19:49, ,20:49, 
有峰口, ,5:54,6:27, ,7:36, ,8:37,9:43,10:14,11:14,12:14,13:14,14:14,15:14,15:44,16:16, ,16:52, ,17:52, ,18:52, ,19:52, ,20:52, 
千垣, ,5:56,6:29, ,7:38, ,8:39,9:45,10:16,11:16,12:16,13:16,14:16,15:16,15:46,レ, ,16:54, ,17:54, ,18:54, ,19:54, ,20:54, 
横江, ,6:02,6:35, ,7:44, ,8:45,9:51,10:22,11:22,12:22,13:22,14:22,15:22,15:52,レ, ,17:00, ,18:00, ,19:00, ,20:00, ,21:00, 
岩峅寺,5:41,6:10,6:42,7:10,7:50,8:32,8:56,10:00,10:31,11:30,12:30,13:30,14:30,15:30,16:03,16:29,16:37,17:06,17:38,18:08,18:40,19:05,19:40,20:05,20:37,21:05,22:00
沢中山,5:43,6:12,6:44,7:12,7:52,8:34,8:58,10:02,10:33,11:32,12:32,13:32,14:32,15:32,16:05,レ,16:39,17:08,17:40,18:10,18:42,19:07,19:42,20:07,20:39,21:07,22:02
釜ヶ淵,5:45,6:14,6:46,7:14,7:54,8:36,9:00,10:04,10:35,11:34,12:34,13:34,14:34,15:34,16:07,レ,16:41,17:10,17:42,18:12,18:44,19:09,19:44,20:09,20:41,21:09,22:04
下段,5:47,6:16,6:48,7:16,7:56,8:38,9:02,10:06,10:37,11:36,12:36,13:36,14:36,15:36,16:09,レ,16:43,17:12,17:44,18:14,18:46,19:11,19:46,20:11,20:43,21:11,22:06
榎町,5:49,6:18,6:50,7:18,7:58,8:40,9:04,10:08,10:39,11:38,12:38,13:38,14:38,15:38,16:11,レ,16:45,17:14,17:46,18:16,18:48,19:13,19:48,20:13,20:45,21:13,22:08
五百石,5:52,6:22,6:54,7:21,8:05,8:44,9:07,10:11,10:42,11:41,12:41,13:41,14:41,15:45,16:16,16:37,16:49,17:20,17:51,18:23,18:51,19:19,19:52,20:19,20:49,21:16,22:11
田添,5:54,6:24,6:56,7:23,8:07,8:46,9:09,10:13,10:44,11:43,12:43,13:43,14:43,15:47,16:18,レ,16:51,17:22,17:53,18:25,18:53,19:21,19:54,20:21,20:51,21:18,22:13
稚子塚,5:55,6:25,6:57,7:24,8:08,8:47,9:10,10:14,10:45,11:44,12:44,13:44,14:44,15:48,16:19,レ,16:52,17:23,17:54,18:26,18:54,19:22,19:55,20:22,20:52,21:19,22:14
寺田,5:59,6:32,7:02,7:30,8:15,8:53,9:16,10:18,10:49,11:49,12:49,13:49,14:48,15:55,16:24,16:43,16:59,17:30,17:59,18:31,19:00,19:30,20:00,20:30,20:57,21:25,22:18
越中舟橋,6:01,6:34,7:04,7:32,8:17,8:55,9:18,10:20,10:51,11:51,12:51,13:51,14:50,15:57,16:26,レ,17:01,17:32,18:01,18:33,19:02,19:32,20:02,20:32,21:01,21:27,22:20
越中三郷,6:04,6:37,7:07,7:36,8:20,8:58,9:23,10:23,10:54,11:54,12:54,13:54,14:53,16:03,16:29,レ,17:08,17:38,18:08,18:38,19:08,19:38,20:08,20:38,21:04,21:30,22:23
越中荏原,6:07,6:41,7:10,7:40,8:23,9:01,9:26,10:26,10:59,11:59,12:59,13:59,14:57,16:06,16:34,レ,17:11,17:41,18:11,18:41,19:11,19:41,20:11,20:41,21:07,21:33,22:29
東新庄,6:10,6:44,7:13,7:45,8:27,9:06,9:28,10:29,11:03,12:03,13:03,14:03,15:02,16:09,16:36,レ,17:18,17:48,18:18,18:48,19:18,19:48,20:18,20:44,21:12,21:37,22:31
新庄田中,6:11,6:45,7:14,7:46,8:28,9:07,9:29,10:30,11:04,12:04,13:04,14:04,15:03,16:10,16:37,レ,17:19,17:49,18:19,18:49,19:19,19:49,20:19,20:45,21:13,21:38,22:32
稲荷町,6:14,6:48,7:17,7:50,8:31,9:10,9:32,10:33,11:07,12:07,13:07,14:07,15:07,16:13,16:40,レ,17:22,17:52,18:22,18:52,19:22,19:52,20:22,20:48,21:16,21:41,22:35
電鉄富山,6:17,6:51,7:21,7:53,8:34,9:13,9:36,10:36,11:10,12:10,13:10,14:10,15:10,16:16,16:44,17:00,17:25,17:55,18:25,18:55,19:25,19:55,20:25,20:51,21:19,21:44,22:39
