列車番号,601,603,605,607,609,611,613,615,617,619,621,623,625,627,629,635,639,643,647,649
電鉄富山,5:19,5:48,6:26,7:03,7:43,8:12,9:20,9:55,10:55,11:55,12:55,13:55,14:55,15:47,16:47,17:55,18:55,19:55,21:05,22:30
稲荷町,5:23,5:54,6:30,7:07,7:48,8:18,9:24,9:59,10:59,11:59,12:59,13:59,14:59,15:51,16:51,17:59,18:59,19:59,21:09,22:34
栄町,5:24,5:55,6:31,7:08,7:49,8:19,9:25,10:00,11:00,12:00,13:00,14:00,15:00,15:52,16:52,18:00,19:00,20:00,21:10,22:35
不二越,5:25,5:56,6:32,7:09,7:50,8:20,9:26,10:01,11:01,12:01,13:01,14:01,15:01,15:53,16:53,18:01,19:01,20:01,21:11,22:36
大泉,5:27,5:58,6:34,7:11,7:52,8:22,9:28,10:03,11:03,12:03,13:03,14:03,15:03,15:55,16:55,18:03,19:03,20:03,21:13,22:38
南富山,5:31,6:03,6:39,7:16,7:56,8:26,9:33,10:07,11:07,12:07,13:07,14:07,15:07,16:03,17:03,18:07,19:07,20:07,21:17,22:42
朝菜町,5:33,6:05,6:41,7:18,7:58,8:28,9:35,10:09,11:09,12:09,13:09,14:09,15:09,16:05,17:05,18:09,19:09,20:09,21:19,22:44
上堀,5:35,6:07,6:43,7:20,8:00,8:30,9:37,10:11,11:11,12:11,13:11,14:11,15:11,16:07,17:07,18:11,19:11,20:11,21:21,22:46
小杉,5:36,6:08,6:44,7:21,8:01,8:31,9:38,10:12,11:12,12:12,13:12,14:12,15:12,16:08,17:08,18:12,19:12,20:12,21:22,22:47
布市,5:37,6:09,6:45,7:22,8:02,8:32,9:39,10:13,11:13,12:13,13:13,14:13,15:13,16:09,17:09,18:13,19:13,20:13,21:23,22:48
開発,5:39,6:11,6:47,7:24,8:04,8:34,9:41,10:15,11:15,12:15,13:15,14:15,15:15,16:11,17:11,18:15,19:15,20:15,21:25,22:50
月岡,5:45,6:18,6:55,7:35,8:11,8:42,9:46,10:20,11:20,12:20,13:20,14:20,15:20,16:16,17:16,18:20,19:20,20:20,21:30,22:55
大庄,5:47,6:20,6:57,7:37,8:13,8:44,9:48,10:22,11:22,12:22,13:22,14:22,15:22,16:18,17:18,18:22,19:22,20:22,21:32,22:57
上滝,5:50,6:23,7:00,7:40,8:16,8:47,9:51,10:25,11:25,12:25,13:25,14:25,15:25,16:21,17:21,18:25,19:25,20:25,21:35,23:00
大川寺,5:52,6:25,7:02,7:42,8:18,8:49,9:53,10:27,11:27,12:27,13:27,14:27,15:27,16:23,17:23,18:27,19:27,20:27,21:37,23:02
岩峅寺,5:55,6:28,7:05,7:45,8:21,8:53,9:56,10:30,11:30,12:30,13:30,14:30,15:30,16:26,17:26,18:30,19:30,20:30,21:40,23:05
