列車番号,601,603,605,607,609,611,613,615,617,619,621,623,625,627,629,631,633,635,637,639,641,643,645,647,649
電鉄富山,5:19,5:48,6:26,7:03,7:43,8:12,9:17,10:45,11:45,12:45,13:45,14:45,15:27,15:57,16:27,16:57,17:27,17:57,18:27,18:57,19:27,19:57,20:27,21:05,22:30
稲荷町,5:23,5:54,6:30,7:07,7:48,8:18,9:21,10:49,11:49,12:49,13:49,14:49,15:31,16:01,16:31,17:01,17:31,18:01,18:31,19:01,19:31,20:01,20:31,21:09,22:34
栄町,5:24,5:55,6:31,7:08,7:49,8:19,9:22,10:50,11:50,12:50,13:50,14:50,15:32,16:02,16:32,17:02,17:32,18:02,18:32,19:02,19:32,20:02,20:32,21:10,22:35
不二越,5:25,5:56,6:32,7:09,7:50,8:20,9:23,10:51,11:51,12:51,13:51,14:51,15:33,16:03,16:33,17:03,17:33,18:03,18:33,19:03,19:33,20:03,20:33,21:11,22:36
大泉,5:27,5:58,6:34,7:11,7:52,8:22,9:25,10:53,11:53,12:53,13:53,14:53,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35,21:13,22:38
南富山,5:31,6:03,6:39,7:16,7:56,8:27,9:29,10:57,11:57,12:57,13:57,14:57,15:39,16:09,16:39,17:09,17:39,18:09,18:39,19:09,19:39,20:09,20:39,21:17,22:42
朝菜町,5:33,6:05,6:41,7:18,7:58,8:29,9:31,10:59,11:59,12:59,13:59,14:59,15:41,16:11,16:41,17:11,17:41,18:11,18:41,19:11,19:41,20:11,20:41,21:19,22:44
上堀,5:35,6:07,6:43,7:20,8:00,8:31,9:33,11:01,12:01,13:01,14:01,15:01,15:43,16:13,16:43,17:13,17:43,18:13,18:43,19:13,19:43,20:13,20:43,21:21,22:46
小杉,5:36,6:08,6:44,7:21,8:01,8:32,9:34,11:02,12:02,13:02,14:02,15:02,15:44,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:44,20:14,20:44,21:22,22:47
布市,5:37,6:09,6:45,7:22,8:02,8:33,9:35,11:03,12:03,13:03,14:03,15:03,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:23,22:48
開発,5:39,6:11,6:47,7:24,8:04,8:35,9:37,11:05,12:05,13:05,14:05,15:05,15:47,16:17,16:47,17:17,17:47,18:17,18:47,19:17,19:47,20:17,20:47,21:25,22:50
月岡,5:45,6:18,6:55,7:35,8:11,8:42,9:42,11:10,12:10,13:10,14:10,15:10,15:52,16:25,16:54,17:24,17:54,18:24,18:54,19:24,19:54,20:24,20:59,21:30,22:55
大庄,5:47,6:20,6:57,7:37,8:13,8:44,9:44,11:12,12:12,13:12,14:12,15:12,15:54,16:27,16:56,17:26,17:56,18:26,18:56,19:26,19:56,20:26,21:01,21:32,22:57
上滝,5:50,6:23,7:00,7:40,8:16,8:47,9:47,11:15,12:15,13:15,14:15,15:15,15:57,16:30,16:59,17:29,17:59,18:29,18:59,19:29,19:59,20:29,21:04,21:35,23:00
大川寺,5:52,6:25,7:02,7:42,8:18,8:49,9:49,11:17,12:17,13:17,14:17,15:17,15:59,16:32,17:01,17:31,18:01,18:31,19:01,19:31,20:01,20:31,21:06,21:37,23:02
岩峅寺,5:55,6:28,7:05,7:45,8:21,8:53,9:53,11:20,12:20,13:20,14:20,15:20,16:03,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35,21:10,21:40,23:05
