列車番号,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,634,638,642,646,650
岩峅寺,5:35,6:08,6:45,7:25,8:00,8:33,9:10,10:10,11:10,11:43,12:43,13:43,14:43,15:40,16:40,17:43,18:43,19:43,20:53,21:50
大川寺,5:37,6:10,6:47,7:27,8:02,8:35,9:12,10:12,11:12,11:45,12:45,13:45,14:45,15:42,16:42,17:45,18:45,19:45,20:55,21:52
上滝,5:39,6:12,6:49,7:29,8:04,8:37,9:14,10:14,11:14,11:47,12:47,13:47,14:47,15:44,16:44,17:47,18:47,19:47,20:57,21:54
大庄,5:42,6:15,6:52,7:32,8:07,8:40,9:17,10:17,11:17,11:50,12:50,13:50,14:50,15:47,16:47,17:50,18:50,19:50,21:00,21:57
月岡,5:45,6:20,6:57,7:37,8:11,8:43,9:20,10:20,11:20,11:53,12:53,13:53,14:53,15:50,16:50,17:53,18:53,19:53,21:03,22:00
開発,5:48,6:23,7:00,7:40,8:14,8:46,9:23,10:23,11:23,11:56,12:56,13:56,14:56,15:53,16:53,17:56,18:56,19:56,21:06,22:03
布市,5:50,6:25,7:02,7:42,8:16,8:48,9:25,10:25,11:25,11:58,12:58,13:58,14:58,15:55,16:55,17:58,18:58,19:58,21:08,22:05
小杉,5:51,6:26,7:03,7:43,8:17,8:49,9:26,10:26,11:26,11:59,12:59,13:59,14:59,15:56,16:56,17:59,18:59,19:59,21:09,22:06
上堀,5:52,6:27,7:04,7:44,8:18,8:50,9:27,10:27,11:27,12:00,13:00,14:00,15:00,15:57,16:57,18:00,19:00,20:00,21:10,22:07
朝菜町,5:53,6:28,7:05,7:45,8:19,8:51,9:28,10:28,11:28,12:01,13:01,14:01,15:01,15:58,16:58,18:01,19:01,20:01,21:11,22:08
南富山,6:02,6:38,7:15,7:56,8:26,8:56,9:33,10:33,11:33,12:06,13:06,14:06,15:06,16:03,17:03,18:06,19:06,20:06,21:16,22:13
大泉,6:04,6:40,7:17,7:58,8:28,8:58,9:35,10:35,11:35,12:08,13:08,14:08,15:08,16:05,17:05,18:08,19:08,20:08,21:18,22:15
不二越,6:06,6:42,7:19,8:00,8:30,9:00,9:37,10:37,11:37,12:10,13:10,14:10,15:10,16:07,17:07,18:10,19:10,20:10,21:20,22:17
栄町,6:07,6:43,7:20,8:01,8:31,9:01,9:38,10:38,11:38,12:11,13:11,14:11,15:11,16:08,17:08,18:11,19:11,20:11,21:21,22:18
稲荷町,6:11,6:48,7:25,8:06,8:35,9:05,9:42,10:42,11:42,12:15,13:15,14:15,15:15,16:12,17:12,18:15,19:15,20:15,21:25,22:22
電鉄富山,6:14,6:51,7:28,8:09,8:38,9:08,9:45,10:45,11:45,12:18,13:18,14:18,15:18,16:15,17:15,18:18,19:18,20:18,21:28,22:25
