列車番号,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650
岩峅寺,5:35,6:08,6:45,7:25,8:00,8:33,9:33,10:33,11:33,12:33,13:33,14:33,15:43,16:13,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:50,21:20,21:50
大川寺,5:37,6:10,6:47,7:27,8:02,8:35,9:35,10:35,11:35,12:35,13:35,14:35,15:45,16:15,16:47,17:17,17:47,18:17,18:47,19:17,19:47,20:17,20:52,21:22,21:52
上滝,5:39,6:12,6:49,7:29,8:04,8:37,9:37,10:37,11:37,12:37,13:37,14:37,15:47,16:17,16:49,17:19,17:49,18:19,18:49,19:19,19:49,20:19,20:54,21:24,21:54
大庄,5:42,6:15,6:52,7:32,8:07,8:40,9:40,10:40,11:40,12:40,13:40,14:40,15:50,16:20,16:52,17:22,17:52,18:22,18:52,19:22,19:52,20:22,20:57,21:27,21:57
月岡,5:45,6:20,6:57,7:37,8:11,8:43,9:43,10:43,11:43,12:43,13:43,14:43,15:53,16:23,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:25,21:00,21:30,22:00
開発,5:48,6:23,7:00,7:40,8:14,8:46,9:46,10:46,11:46,12:46,13:46,14:46,15:56,16:26,16:58,17:28,17:58,18:28,18:58,19:28,19:58,20:28,21:03,21:33,22:03
布市,5:50,6:25,7:02,7:42,8:16,8:48,9:48,10:48,11:48,12:48,13:48,14:48,15:58,16:28,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:05,21:35,22:05
小杉,5:51,6:26,7:03,7:43,8:17,8:49,9:49,10:49,11:49,12:49,13:49,14:49,15:59,16:29,17:01,17:31,18:01,18:31,19:01,19:31,20:01,20:31,21:06,21:36,22:06
上堀,5:52,6:27,7:04,7:44,8:18,8:50,9:50,10:50,11:50,12:50,13:50,14:50,16:00,16:30,17:02,17:32,18:02,18:32,19:02,19:32,20:02,20:32,21:07,21:37,22:07
朝菜町,5:53,6:28,7:05,7:45,8:19,8:51,9:51,10:51,11:51,12:51,13:51,14:51,16:01,16:31,17:03,17:33,18:03,18:33,19:03,19:33,20:03,20:33,21:08,21:38,22:08
南富山,6:02,6:38,7:15,7:56,8:26,8:56,9:56,10:56,11:56,12:56,13:56,14:56,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08,20:38,21:16,21:43,22:13
大泉,6:04,6:40,7:17,7:58,8:28,8:58,9:58,10:58,11:58,12:58,13:58,14:58,16:10,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10,20:40,21:18,21:45,22:15
不二越,6:06,6:42,7:19,8:00,8:30,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:12,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12,20:42,21:20,21:47,22:17
栄町,6:07,6:43,7:20,8:01,8:31,9:01,10:01,11:01,12:01,13:01,14:01,15:01,16:13,16:43,17:13,17:43,18:13,18:43,19:13,19:43,20:13,20:43,21:21,21:48,22:18
稲荷町,6:11,6:48,7:25,8:06,8:35,9:05,10:05,11:05,12:05,13:05,14:05,15:05,16:17,16:48,17:17,17:47,18:17,18:47,19:18,19:47,20:17,20:47,21:25,21:52,22:22
電鉄富山,6:14,6:51,7:28,8:09,8:38,9:08,10:08,11:08,12:08,13:08,14:08,15:08,16:20,16:51,17:20,17:50,18:20,18:50,19:21,19:50,20:20,20:50,21:28,21:55,22:25
