列車番号,ST1,8301,101,303,103,1305,107,307,109,1309,1009,TY3,11,311,KU21,113,TY5,8313,115,1017,1019,KU23,8315,223,125,8317,1027,KU25,8319,231,KU27,133,323,8325,137,327,141,329,1041,143,331,45,147,337,151,341,153,345,155,1349,1055,57,1351,1057,1059
電鉄富山,5:10,5:13,5:17,5:50,6:10,6:22,6:50,7:14,7:23,7:35,7:48,8:00,8:10,8:20, ,8:45,9:00,9:10,9:30,10:00,10:30, ,11:00, ,11:30,12:00,12:30, ,13:00, , ,13:30,14:00,14:20,14:30,15:00,15:30,15:50,16:10,16:30,16:50,17:10,17:40,18:00,18:30,19:00,19:30,20:00,20:30,21:10,21:35,22:05,22:35,23:05,23:30
稲荷町, ,5:16,5:20,5:53,6:13,6:26,6:53,7:17,7:26,7:38,7:51,レ,8:14,8:23, ,8:48,レ,9:13,9:33,10:03,10:33, ,11:03, ,11:33,12:03,12:33, ,13:03, , ,13:33,14:03,14:23,14:33,15:03,15:33,15:53,16:14,16:33,16:53,17:14,17:44,18:03,18:33,19:03,19:33,20:03,20:33,21:13,21:38,22:08,22:38,23:08,23:33
新庄田中, ,5:17,5:21,5:54,6:14,6:27,6:54,7:18,7:27,7:39,7:52,レ,8:15,8:24, ,8:49,レ,9:14,9:34,10:04,10:34, ,11:04, ,11:34,12:04,12:34, ,13:04, , ,13:34,14:04,14:24,14:34,15:04,15:34,15:54,16:15,16:34,16:54,17:15,17:45,18:04,18:34,19:04,19:34,20:04,20:34,21:14,21:39,22:09,22:39,23:09,23:34
東新庄, ,5:20,5:24,5:57,6:17,6:30,6:57,7:21,7:30,7:42,7:57,レ,8:18,8:27, ,8:52,レ,9:17,9:37,10:07,10:37, ,11:07, ,11:37,12:07,12:37, ,13:07, , ,13:37,14:07,14:27,14:37,15:07,15:37,15:57,16:18,16:37,16:57,17:18,17:48,18:07,18:37,19:07,19:37,20:07,20:37,21:18,21:42,22:12,22:42,23:12,23:37
越中荏原, ,5:22,5:26,5:59,6:19,6:32,6:59,7:23,7:33,7:44,7:59,レ,8:22,8:29, ,8:54,レ,9:19,9:39,10:09,10:39, ,11:09, ,11:39,12:09,12:39, ,13:09, , ,13:39,14:09,14:29,14:39,15:09,15:39,15:59,16:20,16:39,16:59,17:20,17:51,18:09,18:39,19:09,19:39,20:09,20:39,21:20,21:44,22:15,22:44,23:14,23:39
越中三郷, ,5:26,5:30,6:03,6:23,6:36,7:03,7:28,7:37,7:49,8:03,レ,8:26,8:33, ,9:00,レ,9:23,9:43,10:13,10:43, ,11:13, ,11:43,12:13,12:43, ,13:13, , ,13:43,14:13,14:33,14:43,15:13,15:43,16:03,16:24,16:43,17:03,17:24,17:55,18:13,18:43,19:13,19:43,20:13,20:43,21:24,21:48,22:19,22:48,23:18,23:43
越中舟橋, ,5:28,5:32,6:05,6:25,6:38,7:05,7:30,7:39,7:51,8:05,レ,8:28,8:35, ,9:02,レ,9:25,9:45,10:15,10:45, ,11:15, ,11:45,12:15,12:45, ,13:15, , ,13:45,14:15,14:35,14:45,15:15,15:45,16:05,16:26,16:45,17:05,17:26,17:57,18:15,18:45,19:15,19:45,20:15,20:45,21:26,21:50,22:21,22:50,23:20,23:45
寺田, ,5:31,5:36,6:10,6:28,6:44,7:08,7:33,7:43,8:00,8:08,8:15,8:32,8:41, ,9:07,9:16,9:32,9:51,10:20,10:48, ,11:20, ,11:48,12:20,12:48, ,13:20, , ,13:48,14:20,14:38,14:48,15:18,15:48,16:10,16:29,16:52,17:10,17:29,18:00,18:18,18:48,19:18,19:48,20:18,20:48,21:29,21:53,22:24,22:54,23:23,23:48
越中泉, , ,5:37, ,6:29, ,7:09, ,7:44, ,8:09, ,8:33, , ,9:08, , ,9:52,10:21,10:49, , , ,11:49, ,12:49, , , , ,13:49, , ,14:49, ,15:49, ,16:30,16:53, ,17:30,18:01, ,18:49, ,19:49, ,20:49, ,21:54,22:25, ,23:24,23:49
相ノ木, , ,5:39, ,6:31, ,7:11, ,7:46, ,8:11, ,8:35, , ,9:10, , ,9:54,10:23,10:51, , , ,11:51, ,12:51, , , , ,13:51, , ,14:51, ,15:51, ,16:32,16:55, ,17:32,18:03, ,18:51, ,19:51, ,20:51, ,21:56,22:27, ,23:26,23:51
