列車番号,ST1,8301,101,303,103,1305,5,107,1007,307,109,1309,11,1011,311,KU21,113,TY3,8313,115,1015,TY5,1017,1019,KU23,8315,1021,223,125,8317,1025,1027,KU25,8319,1029,8321,231,133,323,1033,1035,8325,237,139,327,141,1329,1041,331,143,1333,45,335,147,1337,49,339,151,1341,1051,343,153,1345,1053,347,155,1349,1055,57,1351,1057,1059
電鉄富山,5:10,5:13,5:17,5:50,6:10,6:22,6:30,6:50,7:00,7:14,7:23,7:37,7:48,8:03,8:20, ,8:45,9:00,9:10,9:30,9:50,10:00,10:10,10:30, ,10:50,11:10, ,11:30,11:50,12:10,12:30, ,12:50,13:10,13:22, ,13:30,13:50,14:10,14:30,14:50, ,15:10,15:30,15:40,15:55,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:50,21:10,21:35,22:05,22:35,23:05,23:30
稲荷町, ,5:16,5:20,5:53,6:13,6:26,6:33,6:53,7:03,7:17,7:27,7:41,7:51,8:07,8:24, ,8:48,レ,9:13,9:33,9:53,レ,10:13,10:33, ,10:53,11:13, ,11:33,11:53,12:13,12:33, ,12:53,13:13,13:25, ,13:33,13:53,14:13,14:33,14:53, ,15:13,15:33,15:43,15:58,16:19,16:33,16:49,17:03,17:19,17:33,17:49,18:03,18:19,18:33,18:49,19:03,19:19,19:33,19:49,20:03,20:19,20:33,20:53,21:13,21:38,22:08,22:38,23:08,23:33
新庄田中, ,5:17,5:21,5:54,6:14,6:27,6:34,6:54,7:04,7:18,7:28,7:42,7:52,8:08,8:25, ,8:49,レ,9:14,9:34,9:54,レ,10:14,10:34, ,10:54,11:14, ,11:34,11:54,12:14,12:34, ,12:54,13:14,13:26, ,13:34,13:54,14:14,14:34,14:54, ,15:14,15:34,15:44,15:59,16:20,16:34,16:50,17:04,17:20,17:34,17:50,18:04,18:20,18:34,18:50,19:04,19:20,19:34,19:50,20:04,20:20,20:34,20:54,21:14,21:39,22:09,22:39,23:09,23:34
東新庄, ,5:20,5:24,5:57,6:17,6:30,6:37,6:57,7:09,7:21,7:31,7:45,7:57,8:11,8:28, ,8:52,レ,9:17,9:37,9:59,レ,10:17,10:37, ,10:57,11:17, ,11:37,11:57,12:17,12:37, ,12:57,13:17,13:29, ,13:37,13:57,14:17,14:37,14:57, ,15:17,15:37,15:47,16:02,16:23,16:37,16:53,17:07,17:23,17:37,17:53,18:07,18:23,18:37,18:53,19:07,19:23,19:37,19:53,20:07,20:23,20:37,20:57,21:17,21:42,22:12,22:42,23:12,23:37
越中荏原, ,5:22,5:26,6:01,6:19,6:32,6:39,6:59,7:11,7:23,7:33,7:47,7:59,8:16,8:30, ,8:54,レ,9:19,9:39,10:01,レ,10:19,10:39, ,10:59,11:19, ,11:39,11:59,12:19,12:39, ,12:59,13:19,13:31, ,13:39,13:59,14:19,14:39,14:59, ,15:19,15:39,15:49,16:04,16:25,16:39,16:55,17:09,17:25,17:39,17:55,18:09,18:25,18:39,18:55,19:09,19:25,19:39,19:55,20:09,20:25,20:39,20:59,21:19,21:44,22:15,22:44,23:14,23:39
越中三郷, ,5:26,5:30,6:05,6:23,6:36,6:43,7:03,7:15,7:27,7:37,7:51,8:03,8:20,8:34, ,9:00,レ,9:23,9:43,10:05,レ,10:23,10:43, ,11:03,11:23, ,11:43,12:03,12:23,12:43, ,13:03,13:23,13:35, ,13:43,14:03,14:23,14:43,15:03, ,15:23,15:43,15:53,16:08,16:29,16:43,16:59,17:13,17:29,17:43,17:59,18:13,18:29,18:43,18:59,19:13,19:29,19:43,19:59,20:13,20:30,20:43,21:03,21:23,21:48,22:19,22:48,23:18,23:43
越中舟橋, ,5:28,5:32,6:07,6:25,6:38,6:46,7:05,7:17,7:30,7:39,7:53,8:05,8:22,8:36, ,9:02,レ,9:25,9:45,10:07,レ,10:25,10:45, ,11:05,11:25, ,11:45,12:05,12:25,12:45, ,13:05,13:25,13:37, ,13:45,14:05,14:25,14:45,15:05, ,15:26,15:45,15:55,16:10,16:31,16:45,17:01,17:15,17:31,17:45,18:01,18:15,18:31,18:45,19:01,19:15,19:31,19:45,20:01,20:15,20:32,20:45,21:05,21:25,21:50,22:21,22:50,23:20,23:45
寺田, ,5:31,5:36,6:10,6:28,6:44,6:50,7:08,7:22,7:33,7:43,8:00,8:08,8:25,8:41, ,9:07,9:16,9:32,9:51,10:10,10:18,10:28,10:51, ,11:09,11:28, ,11:51,12:09,12:28,12:51, ,13:09,13:28,13:49, ,13:51,14:09,14:28,14:51,15:09, ,15:29,15:49,15:58,16:14,16:35,16:48,17:04,17:19,17:35,17:50,18:06,18:22,18:38,18:48,19:05,19:18,19:34,19:51,20:07,20:18,20:35,20:48,21:08,21:29,21:53,22:24,22:54,23:23,23:48
越中泉, , ,5:37, ,6:29, ,6:51,7:09,7:23, ,7:44, ,8:09,8:26, , ,9:08, , ,9:52,10:11, ,10:29,10:52, , ,11:29, ,11:52, ,12:29,12:52, , ,13:29, , ,13:52, ,14:29,14:52, , ,15:30, ,15:59, ,16:36, ,17:05, ,17:36, ,18:07, ,18:39, ,19:06, ,19:35, ,20:08, ,20:36, ,21:09, ,21:54,22:25, ,23:24,23:49
相ノ木, , ,5:39, ,6:31, ,6:53,7:11,7:25, ,7:46, ,8:11,8:28, , ,9:10, , ,9:54,10:13, ,10:31,10:54, , ,11:31, ,11:54, ,12:31,12:54, , ,13:31, , ,13:54, ,14:31,14:54, , ,15:32, ,16:01, ,16:38, ,17:07, ,17:38, ,18:09, ,18:41, ,19:08, ,19:37, ,20:10, ,20:38, ,21:11, ,21:56,22:27, ,23:26,23:51
