列車番号,1002,4,8304,6,306,110,1308,1012,114,310,118,220,1312,1018,22,314,24,AP2,KU20,316,1024,126,KU22,UN2,8318,228,1028,8322,132,KU24,234,8324,1034,8326,138,KU26,8328,142,330,TY2,1042,144,KU28,334,TY4,148,338,340,150,344,152,348,156,158,1352
宇奈月温泉, , , , , ,5:55, , ,6:25, ,7:13,8:05, , , , , ,9:15,9:15, , ,9:47,10:20,10:20, ,10:55, , ,11:45,12:33,12:45, , , ,13:45,14:05, ,14:45, , , ,15:45,16:05, , ,16:40, , ,17:45, ,18:48, ,19:45,20:45, 
音沢, , , , , ,6:00, , ,6:30, ,7:18,8:10, , , , , ,レ,レ, , ,9:52,レ,レ, ,11:00, , ,11:50,レ,12:50, , , ,13:50,レ, ,14:50, , , ,15:50,レ, , ,16:45, , ,17:50, ,18:53, ,19:50,20:50, 
内山, , , , , ,6:02, , ,6:32, ,7:20,8:12, , , , , ,レ,レ, , ,9:54,レ,レ, ,11:02, , ,11:52,レ,12:52, , , ,13:52,レ, ,14:52, , , ,15:52,レ, , ,16:47, , ,17:52, ,18:55, ,19:52,20:52, 
愛本, , , , , ,6:04, , ,6:34, ,7:22,8:14, , , , , ,レ,レ, , ,9:56,レ,レ, ,11:04, , ,11:54,レ,12:54, , , ,13:54,レ, ,14:54, , , ,15:54,レ, , ,16:49, , ,17:54, ,18:57, ,19:54,20:54, 
下立, , , , , ,6:06, , ,6:36, ,7:24,8:16, , , , , ,レ,レ, , ,9:58,レ,レ, ,11:06, , ,11:56,レ,12:56, , , ,13:56,レ, ,14:56, , , ,15:56,レ, , ,16:51, , ,17:56, ,18:59, ,19:56,20:56, 
下立口, , , , , ,6:07, , ,6:37, ,7:25,8:17, , , , , ,レ,レ, , ,9:59,レ,レ, ,11:07, , ,11:57,レ,12:57, , , ,13:57,レ, ,14:57, , , ,15:57,レ, , ,16:52, , ,17:57, ,19:00, ,19:57,20:57, 
浦山, , , , , ,6:11, , ,6:41, ,7:29,8:22, , , , , ,レ,レ, , ,10:03,レ,レ, ,11:11, , ,12:01,レ,13:01, , , ,14:01,レ, ,15:05, , , ,16:02,レ, , ,16:56, , ,18:02, ,19:04, ,20:02,21:01, 
栃屋, , , , , ,6:13, , ,6:43, ,7:31,8:24, , , , , ,レ,レ, , ,10:05,レ,レ, ,11:13, , ,12:03,レ,13:03, , , ,14:03,レ, ,15:07, , , ,16:04,レ, , ,16:58, , ,18:04, ,19:06, ,20:04,21:03, 
若栗, , , , , ,6:14, , ,6:44, ,7:32,8:25, , , , , ,レ,レ, , ,10:06,レ,レ, ,11:14, , ,12:04,レ,13:04, , , ,14:04,レ, ,15:08, , , ,16:05,レ, , ,16:59, , ,18:05, ,19:07, ,20:05,21:04, 
舌山, , , , , ,6:16, , ,6:46, ,7:34,8:27, , , , ,9:08,レ,レ, , ,10:08,レ,レ, ,11:19, , ,12:08,レ,13:06, , , ,14:08,レ, ,15:10, , , ,16:07,レ, , ,17:01, , ,18:08, ,19:09, ,20:07,21:06, 
新黒部, , , , , ,6:17, , ,6:47, ,7:35,8:28, , , , ,9:09,9:32,9:32, , ,10:09,10:37,10:37, ,11:20, , ,12:09,12:50,13:07, , , ,14:09,14:22, ,15:11, , , ,16:08,16:22, , ,17:02, , ,18:09, ,19:10, ,20:08,21:07, 
長屋, , , , , ,6:18, , ,6:48, ,7:36,8:29, , , , ,9:10,レ,レ, , ,10:10,レ,レ, ,11:21, , ,12:10,レ,13:08, , , ,14:10,レ, ,15:12, , , ,16:09,レ, , ,17:03, , ,18:10, ,19:11, ,20:09,21:08, 
荻生, , , , , ,6:20, , ,6:50, ,7:38,8:31, , , , ,9:12,レ,レ, , ,10:12,レ,レ, ,11:23, , ,12:12,レ,13:10, , , ,14:12,レ, ,15:14, , , ,16:11,レ, , ,17:05, , ,18:12, ,19:13, ,20:11,21:10, 
東三日市, , , , , ,6:21, , ,6:51, ,7:39,8:32, , , , ,9:13,レ,レ, , ,10:13,レ,レ, ,11:24, , ,12:13,レ,13:11, , , ,14:13,レ, ,15:15, , , ,16:12,レ, , ,17:06, , ,18:13, ,19:14, ,20:12,21:11, 
電鉄黒部, ,5:20, ,5:55, ,6:27, , ,7:00, ,7:45,8:37, , , , ,9:18,9:39,(止), , ,10:18,10:44,10:44, ,11:28, , ,12:18,12:56,13:18, , , ,14:18,14:32, ,15:19, , , ,16:18,(止), , ,17:11, , ,18:18, ,19:19, ,20:18,21:18, 
電鉄石田, ,5:23, ,5:58, ,6:30, , ,7:03, ,7:48,8:40, , , , ,9:21,レ, , , ,10:21,レ,レ, ,11:31, , ,12:21,レ,13:21, , , ,14:21,レ, ,15:22, , , ,16:21, , , ,17:14, , ,18:21, ,19:22, ,20:21,21:21, 
経田, ,5:25, ,6:00, ,6:32, , ,7:05, ,7:50,8:42, , , , ,9:23,レ, , , ,10:23,レ,レ, ,11:33, , ,12:23,レ,13:23, , , ,14:23,レ, ,15:24, , , ,16:23, , , ,17:16, , ,18:23, ,19:24, ,20:23,21:23, 
新魚津, ,5:30, ,6:05, ,6:37, , ,7:13, ,7:55,8:47, , , , ,9:30,9:49, , , ,10:30,10:52,10:53, ,11:38, , ,12:30,13:05,13:27, , , ,14:30,14:42, ,15:30, , , ,16:30, , , ,17:21, , ,18:30, ,19:30, ,20:30,21:30, 
電鉄魚津, ,5:32, ,6:07, ,6:39, , ,7:15, ,7:57,(止), , , , ,9:32,9:51, , , ,10:32,(止),10:55, ,(止), , ,12:32,(止),(止), , , ,14:32,(止), ,15:32, , , ,16:32, , , ,17:23, , ,18:32, ,19:32, ,20:32,21:32, 
西魚津, ,5:34, ,6:09, ,6:41, , ,7:17, ,7:59, , , , , ,9:34,レ, , , ,10:34, ,レ, , , , ,12:34, , , , , ,14:34, , ,15:34, , , ,16:34, , , ,17:25, , ,18:34, ,19:34, ,20:34,21:34, 
越中中村, ,5:36, ,6:11, ,6:43, , ,7:19, ,8:01, , , , , ,9:36,レ, , , ,10:36, ,レ, , , , ,12:36, , , , , ,14:36, , ,15:36, , , ,16:36, , , ,17:27, , ,18:36, ,19:36, ,20:36,21:36, 
早月加積, ,5:39, ,6:14, ,6:46, , ,7:22, ,8:04, , , , , ,9:39,レ, , , ,10:39, ,レ, , , , ,12:39, , , , , ,14:39, , ,15:39, , , ,16:39, , , ,17:30, , ,18:39, ,19:39, ,20:39,21:39, 
浜加積, ,5:40, ,6:15, ,6:47, , ,7:23, ,8:05, , , , , ,9:40,レ, , , ,10:40, ,レ, , , , ,12:40, , , , , ,14:40, , ,15:40, , , ,16:40, , , ,17:31, , ,18:40, ,19:40, ,20:40,21:40, 
滑川, ,5:42, ,6:17, ,6:49, , ,7:25, ,8:07, , , ,9:06, ,9:42,レ, , , ,10:42, ,レ, , , , ,12:42, , , , , ,14:42, , ,15:42, , , ,16:42, , , ,17:33, , ,18:42, ,19:42, ,20:42,21:42, 
中滑川, ,5:45, ,6:20, ,6:56, , ,7:31, ,8:11, , , ,9:08, ,9:45,10:01, , , ,10:45, ,11:04, , , , ,12:45, , , , , ,14:45, , ,15:45, , , ,16:45, , , ,17:36, , ,18:45, ,19:45, ,20:45,21:45, 
西滑川, ,5:46, ,6:21, ,6:57, , ,7:32, ,8:12, , , ,9:09, ,9:46,レ, , , ,10:46, ,レ, , , , ,12:46, , , , , ,14:46, , ,15:46, , , ,16:46, , , ,17:37, , ,18:46, ,19:46, ,20:46,21:46, 
西加積, ,5:48, ,6:23, ,6:59, , ,7:34, ,8:14, , , ,9:11, ,9:48,レ, , , ,10:48, ,レ, , , , ,12:48, , , , , ,14:48, , ,15:48, , , ,16:48, , , ,17:39, , ,18:48, ,19:48, ,20:48,21:48, 
中加積, ,5:52, ,6:26, ,7:02, , ,7:37, ,8:17, , , ,9:14, ,9:51,レ, , , ,10:51, ,レ, , , , ,12:51, , , , , ,14:51, , ,15:51, , , ,16:51, , , ,17:44, , ,18:51, ,19:51, ,20:51,21:51, 
新宮川, ,5:54, ,6:28, ,7:04, , ,7:39, ,8:19, , , ,9:16, ,9:53,レ, , , ,10:53, ,レ, , , , ,12:53, , , , , ,14:53, , ,15:53, , , ,16:53, , , ,17:46, , ,18:53, ,19:53, ,20:53,21:53, 
上市,5:30,6:00, ,6:35, ,7:15, ,7:35,7:50, ,8:25, , ,9:00,9:22, ,10:00,10:14, , ,10:40,11:00, ,11:17, , ,12:00, ,13:00, , , ,14:00, ,15:00, , ,16:00, , ,16:43,17:00, , , ,17:53, , ,19:00, ,20:00, ,21:00,22:00, 
新相ノ木,5:32,6:02, ,6:37, ,7:17, ,7:37,7:52, ,8:27, , ,9:02,9:24, ,10:02,レ, , ,10:42,11:02, ,レ, , ,12:02, ,13:02, , , ,14:02, ,15:02, , ,16:02, , ,16:45,17:02, , , ,17:55, , ,19:02, ,20:02, ,21:02,22:02, 
相ノ木,5:33,6:03, ,6:38, ,7:18, ,7:38,7:53, ,8:28, , ,9:03,9:25, ,10:03,レ, , ,10:43,11:03, ,レ, , ,12:03, ,13:03, , , ,14:03, ,15:03, , ,16:03, , ,16:46,17:03, , , ,17:56, , ,19:03, ,20:03, ,21:03,22:03, 
越中泉,5:34,6:04, ,6:39, ,7:19, ,7:39,7:54, ,8:29, , ,9:04,9:26, ,10:04,レ, , ,10:44,11:04, ,レ, , ,12:04, ,13:04, , , ,14:04, ,15:04, , ,16:04, , ,16:47,17:04, , , ,17:57, , ,19:04, ,20:04, ,21:04,22:04, 
寺田,5:37,6:10,6:28,6:44,6:58,7:23,7:28,7:43,7:58,8:14,8:33, ,8:55,9:10,9:30,9:48,10:07,10:25, ,10:25,10:48,11:07, ,11:22,11:37, ,12:07,12:37,13:07, , ,13:37,14:07,14:38,15:07, ,15:37,16:09,16:29,16:48,16:50,17:09, ,17:29,17:44,18:00,18:37,18:59,19:07,19:59,20:07,20:58,21:07,22:07,22:13
越中舟橋,5:39,6:12,6:30,6:46,7:00,7:25,7:30,7:45,8:00,8:16,8:35, ,8:57,9:12,9:32,9:50,10:09, , ,10:27,10:50,11:09, ,レ,11:39, ,12:09,12:39,13:09, , ,13:39,14:09,14:40,15:09, ,15:39,16:11,16:31,レ,16:52,17:11, ,17:31,レ,18:02,18:39,19:01,19:09,20:01,20:09,21:00,21:09,22:09,22:15
越中三郷,5:42,6:15,6:36,6:49,7:03,7:28,7:37,7:51,8:03,8:19,8:38, ,9:00,9:15,9:35,9:53,10:13, , ,10:30,10:53,11:13, ,レ,11:43, ,12:13,12:43,13:13, , ,13:43,14:13,14:43,15:13, ,15:43,16:14,16:34,レ,16:55,17:14, ,17:34,レ,18:05,18:43,19:04,19:13,20:04,20:13,21:03,21:12,22:12,22:19
越中荏原,5:45,6:19,6:39,6:52,7:06,7:32,7:40,7:54,8:08,8:22,8:41, ,9:03,9:19,9:39,9:56,10:16, , ,10:33,10:56,11:16, ,レ,11:46, ,12:16,12:46,13:16, , ,13:46,14:16,14:46,15:16, ,15:46,16:20,16:39,レ,16:59,17:20, ,17:37,レ,18:09,18:46,19:09,19:16,20:09,20:16,21:06,21:15,22:15,22:22
東新庄,5:48,6:22,6:42,6:57,7:09,7:34,7:42,7:57,8:10,8:27,8:44, ,9:06,9:22,9:41,9:59,10:19, , ,10:37,10:59,11:19, ,レ,11:49, ,12:19,12:49,13:19, , ,13:49,14:19,14:49,15:19, ,15:49,16:22,16:41,レ,17:02,17:23, ,17:40,レ,18:13,18:49,19:13,19:19,20:13,20:19,21:09,21:18,22:20,22:25
新庄田中,5:49,6:23,6:43,6:58,7:10,7:35,7:43,7:58,8:11,8:28,8:45, ,9:07,9:23,9:42,10:00,10:20, , ,10:38,11:00,11:20, ,レ,11:50, ,12:20,12:50,13:20, , ,13:50,14:20,14:50,15:20, ,15:50,16:23,16:42,レ,17:03,17:24, ,17:41,レ,18:14,18:50,19:14,19:20,20:14,20:20,21:10,21:19,22:21,22:26
稲荷町,5:53,6:26,6:46,7:02,7:14,7:39,7:48,8:02,8:16,8:32,8:48, ,9:10,9:26,9:45,10:03,10:23, , ,10:41,11:03,11:23, ,レ,11:53, ,12:23,12:53,13:23, , ,13:53,14:23,14:53,15:23, ,15:53,16:26,16:45,レ,17:06,17:27, ,17:44,レ,18:17,18:53,19:17,19:23,20:17,20:23,21:13,21:22,22:24,22:29
電鉄富山,5:56,6:29,6:49,7:05,7:17,7:42,7:51,8:05,8:19,8:35,8:51, ,9:13,9:29,9:48,10:06,10:26, , ,10:44,11:06,11:26, ,11:37,11:56, ,12:26,12:56,13:26, , ,13:56,14:26,14:56,15:26, ,15:56,16:29,16:48,17:04,17:09,17:30, ,17:47,17:58,18:20,18:56,19:20,19:26,20:20,20:26,21:16,21:25,22:27,22:32
