列車番号,1002,1302,4,8304,6,306,8,110,1308,12,114,1014,310,16,118,1312,20,222,1022,314,124,316,1024,8318,126,KU22,1026,228,8320,1028,1030,8322,132,KU24,1032,234,8324,1034,1036,8326,138,KU26,1038,8328,1040,330,142,TY2,1042,1332,144,334,146,1336,148,338,150,1340,342,152,1344,1052,346,1054,1348,156,350,158,1352
宇奈月温泉, , , , , , , ,5:55, , ,6:25, , , ,7:13, , ,8:05, , ,8:45, , , ,9:47,10:20, ,10:55, , , , ,11:45,12:33, ,12:45, , , , ,13:45,14:40, , , , ,15:10, , , ,15:42, ,16:20, ,16:58, ,17:38, , ,18:30, , , , , ,19:40, ,20:45, 
音沢, , , , , , , ,6:00, , ,6:30, , , ,7:18, , ,8:10, , ,8:50, , , ,9:52,レ, ,11:00, , , , ,11:50,レ, ,12:50, , , , ,13:50,レ, , , , ,15:15, , , ,15:47, ,16:25, ,17:03, ,17:43, , ,18:35, , , , , ,19:45, ,20:50, 
内山, , , , , , , ,6:02, , ,6:32, , , ,7:20, , ,8:12, , ,8:52, , , ,9:54,レ, ,11:02, , , , ,11:52,レ, ,12:52, , , , ,13:52,レ, , , , ,15:17, , , ,15:49, ,16:27, ,17:05, ,17:45, , ,18:37, , , , , ,19:47, ,20:52, 
愛本, , , , , , , ,6:04, , ,6:34, , , ,7:22, , ,8:14, , ,8:54, , , ,9:56,レ, ,11:04, , , , ,11:54,レ, ,12:54, , , , ,13:54,レ, , , , ,15:19, , , ,15:51, ,16:29, ,17:07, ,17:47, , ,18:39, , , , , ,19:49, ,20:54, 
下立, , , , , , , ,6:06, , ,6:36, , , ,7:24, , ,8:16, , ,8:56, , , ,9:58,レ, ,11:06, , , , ,11:56,レ, ,12:56, , , , ,13:56,レ, , , , ,15:21, , , ,15:53, ,16:31, ,17:09, ,17:49, , ,18:41, , , , , ,19:51, ,20:56, 
下立口, , , , , , , ,6:07, , ,6:37, , , ,7:25, , ,8:17, , ,8:57, , , ,9:59,レ, ,11:07, , , , ,11:57,レ, ,12:57, , , , ,13:57,レ, , , , ,15:22, , , ,15:54, ,16:32, ,17:10, ,17:50, , ,18:42, , , , , ,19:52, ,20:57, 
浦山, , , , , , , ,6:11, , ,6:41, , ,7:10,7:29, , ,8:22, , ,9:01, , , ,10:03,レ, ,11:11, , , , ,12:01,レ, ,13:01, , , , ,14:01,レ, , , , ,15:26, , , ,15:59, ,16:36, ,17:14, ,17:54, , ,18:46, , , , , ,19:56, ,21:01, 
栃屋, , , , , , , ,6:13, , ,6:43, , ,7:12,7:31, , ,8:24, , ,9:03, , , ,10:05,レ, ,11:13, , , , ,12:03,レ, ,13:03, , , , ,14:03,レ, , , , ,15:28, , , ,16:01, ,16:38, ,17:16, ,17:56, , ,18:48, , , , , ,19:58, ,21:03, 
若栗, , , , , , , ,6:14, , ,6:44, , ,7:13,7:32, , ,8:25, , ,9:04, , , ,10:06,レ, ,11:14, , , , ,12:04,レ, ,13:04, , , , ,14:04,レ, , , , ,15:29, , , ,16:02, ,16:39, ,17:17, ,17:57, , ,18:49, , , , , ,19:59, ,21:04, 
舌山, , , , , , , ,6:16, , ,6:46, , ,7:15,7:34, , ,8:27, , ,9:06, , , ,10:08,レ, ,11:19, , , , ,12:08,レ, ,13:06, , , , ,14:08,レ, , , , ,15:31, , , ,16:04, ,16:42, ,17:19, ,18:00, , ,18:51, , , , , ,20:01, ,21:06, 
新黒部, , , , , , , ,6:17, , ,6:47, , ,7:16,7:35, , ,8:28, , ,9:07, , , ,10:09,10:37, ,11:20, , , , ,12:09,12:50, ,13:07, , , , ,14:09,14:58, , , , ,15:32, , , ,16:05, ,16:43, ,17:20, ,18:01, , ,18:52, , , , , ,20:02, ,21:07, 
長屋, , , , , , , ,6:18, , ,6:48, , ,7:17,7:36, , ,8:29, , ,9:08, , , ,10:10,レ, ,11:21, , , , ,12:10,レ, ,13:08, , , , ,14:10,レ, , , , ,15:33, , , ,16:06, ,16:44, ,17:21, ,18:02, , ,18:53, , , , , ,20:03, ,21:08, 
荻生, , , , , , , ,6:20, , ,6:50, , ,7:19,7:38, , ,8:31, , ,9:10, , , ,10:12,レ, ,11:23, , , , ,12:12,レ, ,13:10, , , , ,14:12,レ, , , , ,15:35, , , ,16:08, ,16:46, ,17:23, ,18:04, , ,18:55, , , , , ,20:05, ,21:10, 
東三日市, , , , , , , ,6:21, , ,6:51, , ,7:20,7:39, , ,8:32, , ,9:11, , , ,10:13,レ, ,11:24, , , , ,12:13,レ, ,13:11, , , , ,14:13,レ, , , , ,15:36, , , ,16:09, ,16:47, ,17:24, ,18:05, , ,18:56, , , , , ,20:06, ,21:11, 
電鉄黒部, , ,5:20, ,5:55, , ,6:27, , ,7:00, , ,7:25,7:45, , ,8:37, , ,9:17, , , ,10:18,10:44, ,11:28, , , , ,12:18,12:56, ,13:18, , , , ,14:18,15:04, , , , ,15:45, , , ,16:18, ,16:53, ,17:30, ,18:10, , ,19:01, , , , , ,20:16, ,21:18, 
電鉄石田, , ,5:23, ,5:58, , ,6:30, , ,7:03, , ,7:28,7:48, , ,8:40, , ,9:20, , , ,10:21,レ, ,11:31, , , , ,12:21,レ, ,13:21, , , , ,14:21,レ, , , , ,15:48, , , ,16:21, ,16:56, ,17:33, ,18:13, , ,19:04, , , , , ,20:19, ,21:21, 
経田, , ,5:25, ,6:00, , ,6:32, , ,7:05, , ,7:30,7:50, , ,8:42, , ,9:22, , , ,10:23,レ, ,11:33, , , , ,12:23,レ, ,13:23, , , , ,14:23,レ, , , , ,15:50, , , ,16:23, ,16:58, ,17:35, ,18:15, , ,19:06, , , , , ,20:21, ,21:23, 
