列車番号,ST1,8301,303,1305,307,1309,TY3,311,TY5,8313,1017,AP2,8315,8317,8319,323,8325,327,329,331,337,341,345,1349,1351
電鉄富山,5:10,5:13,5:50,6:22,7:14,7:35,8:00,8:20,9:00,9:10,10:00, ,11:00,12:00,13:00,14:00,14:20,15:00,15:50,16:50,18:00,19:00,20:00,21:10,22:35
稲荷町,レ,5:16,5:53,6:26,7:17,7:38,レ,8:23,レ,9:13,10:03, ,11:03,12:03,13:03,14:03,14:23,15:03,15:53,16:53,18:03,19:03,20:03,21:13,22:38
新庄田中,レ,5:17,5:54,6:27,7:18,7:39,レ,8:24,レ,9:14,10:04, ,11:04,12:04,13:04,14:04,14:24,15:04,15:54,16:54,18:04,19:04,20:04,21:14,22:39
東新庄,レ,5:20,5:57,6:30,7:21,7:42,レ,8:27,レ,9:17,10:07, ,11:07,12:07,13:07,14:07,14:27,15:07,15:57,16:57,18:07,19:07,20:07,21:18,22:42
越中荏原,レ,5:22,5:59,6:32,7:23,7:44,レ,8:29,レ,9:19,10:09, ,11:09,12:09,13:09,14:09,14:29,15:09,15:59,16:59,18:09,19:09,20:09,21:20,22:44
越中三郷,レ,5:26,6:03,6:36,7:28,7:49,レ,8:33,レ,9:23,10:13, ,11:13,12:13,13:13,14:13,14:33,15:13,16:03,17:03,18:13,19:13,20:13,21:24,22:48
越中舟橋,レ,5:28,6:05,6:38,7:30,7:51,レ,8:35,レ,9:25,10:15, ,11:15,12:15,13:15,14:15,14:35,15:15,16:05,17:05,18:15,19:15,20:15,21:26,22:50
寺田,レ,5:30,6:07,6:40,7:32,7:53,8:14,8:37,9:14,9:27,10:17,10:18,11:17,12:17,13:17,14:17,14:37,15:17,16:07,17:07,18:17,19:17,20:17,21:28,22:52
発,レ,5:31,6:10,6:44,7:33,8:00,8:15,8:41,9:16,9:32,10:20,10:25,11:20,12:20,13:20,14:20,14:38,15:18,16:10,17:10,18:18,19:18,20:18,21:29,22:54
稚子塚,レ,5:33,6:12,6:46,7:35,8:02,レ,8:43,レ,9:34, ,レ,11:22,12:22,13:22,14:22,14:40,15:20,16:12,17:12,18:20,19:20,20:20,21:31,22:56
田添,レ,5:34,6:13,6:47,7:36,8:03,レ,8:44,レ,9:35, ,レ,11:23,12:23,13:23,14:23,14:41,15:21,16:13,17:13,18:21,19:21,20:21,21:32,22:57
五百石,レ,5:38,6:17,6:51,7:40,8:07,8:19,8:48,9:20,9:42, ,レ,11:27,12:27,13:27,14:27,14:45,15:25,16:17,17:17,18:25,19:25,20:25,21:36,23:01
榎町,レ,5:39,6:18,6:52,7:41,8:08,レ,8:49,レ,9:43, ,レ,11:28,12:28,13:28,14:28,14:46,15:26,16:18,17:18,18:26,19:26,20:26,21:37,23:02
下段,レ,5:41,6:20,6:54,7:43,8:10,レ,8:51,レ,9:45, ,レ,11:30,12:30,13:30,14:30,14:48,15:28,16:20,17:20,18:28,19:28,20:28,21:39,23:04
釜ヶ淵,レ,5:43,6:22,6:56,7:45,8:12,レ,8:53,レ,9:47, ,レ,11:32,12:32,13:32,14:32,14:50,15:30,16:22,17:22,18:30,19:30,20:30,21:41,23:06
沢中山,レ,5:45,6:24,6:58,7:47,8:14,レ,8:55,レ,9:49, ,レ,11:34,12:34,13:34,14:34,14:52,15:32,16:24,17:24,18:32,19:32,20:32,21:43,23:08
岩峅寺,レ,5:49,6:34,7:02,7:53,8:18,8:28,9:00,9:32,10:00, ,レ,11:45,12:45,13:45,14:45,14:56,15:37,16:35,17:40,18:40,19:40,20:40,21:47,23:12
横江,レ,(止),6:38,(止),7:57,(止),レ,9:04,レ,10:04, ,レ,11:49,12:49,13:49,14:49,(止),15:41,16:39,17:44,18:44,19:44,20:44,(止),(止)
千垣,レ, ,6:44, ,8:03, ,レ,9:10,レ,10:10, ,レ,11:55,12:55,13:55,14:55, ,15:47,16:45,17:50,18:50,19:50,20:50, , 
有峰口,レ, ,6:47, ,8:06, ,8:41,9:14,9:46,10:13, ,レ,11:59,12:59,13:59,14:59, ,15:50,16:49,17:54,18:53,19:53,20:53, , 
本宮,レ, ,6:50, ,8:09, ,レ,9:17,レ,10:16, ,レ,12:02,13:02,14:02,15:02, ,15:53,16:52,17:57,18:56,19:56,20:56, , 
立山,6:00, ,7:01, ,8:20, ,8:54,9:28,9:59,10:27, ,11:06,12:13,13:13,14:13,15:13, ,16:04,17:03,18:08,19:07,20:07,21:07,,
