列車番号,ST1,8301,303,1305,307,1309,311,TY3,8313,TY5,8315,8317,8319,8321,323,8325,327,1329,331,1333,335,1337,339,1341,343,1345,347,1349,1351
電鉄富山,5:10,5:13,5:50,6:22,7:14,7:37,8:20,9:00,9:10,10:00,10:50,11:50,12:50,13:22,13:50,14:50,15:30,15:55,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:10,22:35
稲荷町,レ,5:16,5:53,6:26,7:17,7:41,8:24,レ,9:13,レ,10:53,11:53,12:53,13:25,13:53,14:53,15:33,15:58,16:33,17:03,17:33,18:03,18:33,19:03,19:33,20:03,20:33,21:13,22:38
新庄田中,レ,5:17,5:54,6:27,7:18,7:42,8:25,レ,9:14,レ,10:54,11:54,12:54,13:26,13:54,14:54,15:34,15:59,16:34,17:04,17:34,18:04,18:34,19:04,19:34,20:04,20:34,21:14,22:39
東新庄,レ,5:20,5:57,6:30,7:21,7:45,8:28,レ,9:17,レ,10:57,11:57,12:57,13:29,13:57,14:57,15:37,16:02,16:37,17:07,17:37,18:07,18:37,19:07,19:37,20:07,20:37,21:17,22:42
越中荏原,レ,5:22,6:01,6:32,7:23,7:47,8:30,レ,9:19,レ,10:59,11:59,12:59,13:31,13:59,14:59,15:39,16:04,16:39,17:09,17:39,18:09,18:39,19:09,19:39,20:09,20:39,21:19,22:44
越中三郷,レ,5:26,6:05,6:36,7:27,7:51,8:34,レ,9:23,レ,11:03,12:03,13:03,13:35,14:03,15:03,15:43,16:08,16:43,17:13,17:43,18:13,18:43,19:13,19:43,20:13,20:43,21:23,22:48
越中舟橋,レ,5:28,6:07,6:38,7:30,7:53,8:36,レ,9:25,レ,11:05,12:05,13:05,13:37,14:05,15:05,15:45,16:10,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:25,22:50
寺田,レ,5:31,6:10,6:44,7:33,8:00,8:41,9:16,9:32,10:18,11:09,12:09,13:09,13:49,14:09,15:09,15:49,16:14,16:48,17:19,17:50,18:22,18:48,19:18,19:51,20:18,20:48,21:29,22:54
稚子塚,レ,5:33,6:12,6:46,7:35,8:02,8:43,レ,9:34,レ,11:11,12:11,13:11,13:51,14:11,15:11,15:51,16:16,16:50,17:21,17:52,18:24,18:50,19:20,19:53,20:20,20:50,21:31,22:56
田添,レ,5:34,6:13,6:47,7:36,8:03,8:44,レ,9:35,レ,11:12,12:12,13:12,13:52,14:12,15:12,15:52,16:17,16:51,17:22,17:53,18:25,18:51,19:21,19:54,20:21,20:51,21:32,22:57
五百石,レ,5:46,6:17,6:51,7:40,8:07,8:48,9:20,9:41,10:22,11:16,12:16,13:16,13:56,14:16,15:16,15:56,16:21,16:55,17:26,17:57,18:29,18:56,19:25,19:58,20:25,20:55,21:36,23:01
榎町,レ,5:47,6:18,6:52,7:41,8:08,8:49,レ,9:42,レ,11:17,12:17,13:17,13:57,14:17,15:17,15:57,16:22,16:56,17:27,17:58,18:30,18:57,19:26,19:59,20:26,20:56,21:37,23:02
下段,レ,5:49,6:20,6:54,7:43,8:10,8:51,レ,9:44,レ,11:19,12:19,13:19,13:59,14:19,15:19,15:59,16:24,16:58,17:29,18:00,18:32,18:59,19:28,20:01,20:28,20:58,21:39,23:04
釜ヶ淵,レ,5:51,6:22,6:56,7:45,8:12,8:53,レ,9:46,レ,11:21,12:21,13:21,14:01,14:21,15:21,16:01,16:26,17:00,17:31,18:02,18:34,19:01,19:30,20:03,20:30,21:00,21:41,23:06
沢中山,レ,5:53,6:24,6:58,7:47,8:14,8:55,レ,9:48,レ,11:23,12:23,13:23,14:03,14:23,15:23,16:03,16:28,17:02,17:33,18:04,18:36,19:03,19:32,20:05,20:32,21:02,21:43,23:08
岩峅寺,レ,5:57,6:34,7:02,7:53,8:18,9:00,9:32,10:03,10:31,11:28,12:28,13:28,14:07,14:28,15:33,16:07,16:32,17:08,17:37,18:10,18:40,19:10,19:36,20:10,20:36,21:10,21:47,23:12
横江,レ,(止),6:38,(止),7:57,(止),9:04,レ,10:07,レ,11:32,12:32,13:32,(止),14:32,15:37,16:11,(止),17:12,(止),18:14,(止),19:14,(止),20:14,(止),21:14,(止),(止)
千垣,レ, ,6:44, ,8:03, ,9:10,レ,10:13,レ,11:38,12:38,13:38, ,14:38,15:43,16:17, ,17:18, ,18:20, ,19:20, ,20:20, ,21:20, , 
有峰口,レ, ,6:47, ,8:06, ,9:14,9:46,10:17,10:43,11:41,12:41,13:41, ,14:41,15:47,16:20, ,17:21, ,18:23, ,19:23, ,20:23, ,21:23, , 
本宮,レ, ,6:50, ,8:09, ,9:17,レ,10:20,レ,11:44,12:44,13:44, ,14:44,15:50,16:23, ,17:24, ,18:26, ,19:26, ,20:26, ,21:26, , 
立山,6:00, ,7:01, ,8:20, ,9:28,9:59,10:31,10:57,11:55,12:55,13:55, ,14:55,16:01,16:34, ,17:35, ,18:37, ,19:37, ,20:37, ,21:37,,
