列車番号,8304,306,1308,310,1312,314,316,8318,8322,8324,8326,8328,330,TY2,334,TY4,338,340,344,348,1352
立山,5:32,6:06, ,7:23, ,9:00,9:32,10:38,11:45,12:45,13:45,14:45,15:35,16:06,16:35,17:05,17:40,18:13,19:13,20:13, 
本宮,5:43,6:17, ,7:34, ,9:11,9:43,10:49,11:56,12:56,13:56,14:56,15:46,レ,16:46,レ,17:51,18:24,19:24,20:24, 
有峰口,5:47,6:20, ,7:37, ,9:14,9:46,10:52,11:59,12:59,13:59,14:59,15:50,16:19,16:49,17:18,17:54,18:27,19:27,20:27, 
千垣,5:49,6:22, ,7:39, ,9:16,9:48,10:54,12:01,13:01,14:01,15:01,15:52,レ,16:51,レ,17:56,18:29,19:29,20:29, 
横江,5:55,6:28, ,7:45, ,9:22,9:54,11:00,12:07,13:07,14:07,15:07,15:58,レ,16:57,レ,18:02,18:35,19:35,20:35, 
岩峅寺,6:02,6:37,7:09,7:52,8:35,9:30,10:00,11:12,12:12,13:12,14:12,15:12,16:04,16:32,17:04,17:31,18:10,18:40,19:40,20:40,21:55
沢中山,6:04,6:39,7:11,7:54,8:37,9:32,10:02,11:14,12:14,13:14,14:14,15:14,16:06,レ,17:06,レ,18:12,18:42,19:42,20:42,21:57
釜ヶ淵,6:06,6:41,7:13,7:56,8:39,9:34,10:04,11:16,12:16,13:16,14:16,15:16,16:08,レ,17:08,レ,18:14,18:44,19:44,20:44,21:59
下段,6:08,6:43,7:15,7:58,8:41,9:36,10:06,11:18,12:18,13:18,14:18,15:18,16:10,レ,17:10,レ,18:16,18:46,19:46,20:46,22:01
榎町,6:10,6:45,7:17,8:00,8:43,9:38,10:08,11:20,12:20,13:20,14:20,15:20,16:12,レ,17:12,レ,18:18,18:48,19:48,20:48,22:03
五百石,6:16,6:50,7:20,8:07,8:47,9:41,10:11,11:26,12:26,13:26,14:26,15:26,16:16,16:40,17:16,17:39,18:24,18:51,19:51,20:51,22:06
田添,6:18,6:52,7:22,8:09,8:49,9:43,10:13,11:28,12:28,13:28,14:28,15:28,16:18,レ,17:18,レ,18:26,18:53,19:53,20:53,22:08
稚子塚,6:19,6:53,7:23,8:10,8:50,9:44,10:14,11:29,12:29,13:29,14:29,15:29,16:19,レ,17:19,レ,18:27,18:54,19:54,20:54,22:09
寺田,6:28,6:58,7:28,8:14,8:55,9:48,10:25,11:37,12:37,13:37,14:38,15:37,16:29,16:48,17:29,17:44,18:37,18:59,19:59,20:58,22:13
越中舟橋,6:30,7:00,7:30,8:16,8:57,9:50,10:27,11:39,12:39,13:39,14:40,15:39,16:31,レ,17:31,レ,18:39,19:01,20:01,21:00,22:15
越中三郷,6:36,7:03,7:37,8:19,9:00,9:53,10:30,11:43,12:43,13:43,14:43,15:43,16:34,レ,17:34,レ,18:43,19:04,20:04,21:03,22:19
越中荏原,6:39,7:06,7:40,8:22,9:03,9:56,10:33,11:46,12:46,13:46,14:46,15:46,16:39,レ,17:37,レ,18:46,19:09,20:09,21:06,22:22
東新庄,6:42,7:09,7:42,8:27,9:06,9:59,10:37,11:49,12:49,13:49,14:49,15:49,16:41,レ,17:40,レ,18:49,19:13,20:13,21:09,22:25
新庄田中,6:43,7:10,7:43,8:28,9:07,10:00,10:38,11:50,12:50,13:50,14:50,15:50,16:42,レ,17:41,レ,18:50,19:14,20:14,21:10,22:26
稲荷町,6:46,7:14,7:48,8:32,9:10,10:03,10:41,11:53,12:53,13:53,14:53,15:53,16:45,レ,17:44,レ,18:53,19:17,20:17,21:13,22:29
電鉄富山,6:49,7:17,7:51,8:35,9:13,10:06,10:44,11:56,12:56,13:56,14:56,15:56,16:48,17:04,17:47,17:58,18:56,19:20,20:20,21:16,22:32
