列車番号,1302,8304,306,1308,310,1312,314,316,8318,8320,8322,8324,8326,8328,330,TY2,1332,334,1336,338,1340,342,1344,346,1348,350,1352
立山, ,5:32,6:06, ,7:23, ,9:00,9:32,10:03,11:00,12:00,13:00,14:00,15:00,15:33,16:06, ,16:40, ,17:40, ,18:43, ,19:43, ,20:43, 
本宮, ,5:43,6:17, ,7:34, ,9:11,9:43,10:14,11:11,12:11,13:11,14:11,15:11,15:44,レ, ,16:51, ,17:51, ,18:54, ,19:54, ,20:54, 
有峰口, ,5:47,6:20, ,7:37, ,9:14,9:46,10:17,11:14,12:14,13:14,14:14,15:14,15:47,16:20, ,16:54, ,17:54, ,18:57, ,19:57, ,20:57, 
千垣, ,5:49,6:22, ,7:39, ,9:16,9:48,10:19,11:16,12:16,13:16,14:16,15:16,15:49,レ, ,16:56, ,17:56, ,18:59, ,19:59, ,20:59, 
横江, ,5:55,6:28, ,7:45, ,9:22,9:54,10:25,11:22,12:22,13:22,14:22,15:22,15:55,レ, ,17:02, ,18:02, ,19:05, ,20:05, ,21:05, 
岩峅寺,5:35,6:02,6:37,7:08,7:52,8:35,9:30,10:00,10:30,11:30,12:30,13:30,14:30,15:30,16:08,16:34,16:42,17:10,17:44,18:10,18:45,19:10,19:45,20:10,20:42,21:10,21:55
沢中山,5:37,6:04,6:39,7:10,7:54,8:37,9:32,10:02,10:32,11:32,12:32,13:32,14:32,15:32,16:10,レ,16:44,17:12,17:46,18:12,18:47,19:12,19:47,20:12,20:44,21:12,21:57
釜ヶ淵,5:39,6:06,6:41,7:12,7:56,8:39,9:34,10:04,10:34,11:34,12:34,13:34,14:34,15:34,16:12,レ,16:46,17:14,17:48,18:14,18:49,19:14,19:49,20:14,20:46,21:14,21:59
下段,5:41,6:08,6:43,7:14,7:58,8:41,9:36,10:06,10:36,11:36,12:36,13:36,14:36,15:36,16:14,レ,16:48,17:16,17:50,18:16,18:51,19:16,19:51,20:16,20:48,21:16,22:01
榎町,5:43,6:10,6:45,7:16,8:00,8:43,9:38,10:08,10:38,11:38,12:38,13:38,14:38,15:38,16:16,レ,16:50,17:18,17:52,18:18,18:53,19:18,19:53,20:18,20:50,21:18,22:03
五百石,5:46,6:16,6:50,7:20,8:07,8:47,9:41,10:11,10:41,11:41,12:41,13:41,14:41,15:41,16:20,16:42,16:54,17:25,17:56,18:28,18:56,19:24,19:57,20:24,20:54,21:21,22:06
田添,5:48,6:18,6:52,7:22,8:09,8:49,9:43,10:13,10:43,11:43,12:43,13:43,14:43,15:43,16:22,レ,16:56,17:27,17:58,18:30,18:58,19:26,19:59,20:26,20:56,21:23,22:08
稚子塚,5:49,6:19,6:53,7:23,8:10,8:50,9:44,10:14,10:44,11:44,12:44,13:44,14:44,15:44,16:23,レ,16:57,17:28,17:59,18:31,18:59,19:27,20:00,20:27,20:57,21:24,22:09
寺田,5:53,6:28,6:58,7:28,8:14,8:55,9:48,10:18,10:49,11:49,12:49,13:49,14:49,15:48,16:29,16:48,17:05,17:35,18:05,18:36,19:05,19:35,20:05,20:35,21:02,21:30,22:13
越中舟橋,5:55,6:30,7:00,7:30,8:16,8:57,9:50,10:20,10:51,11:51,12:51,13:51,14:51,15:50,16:31,レ,17:07,17:37,18:07,18:38,19:07,19:37,20:07,20:37,21:05,21:32,22:15
越中三郷,5:58,6:36,7:03,7:37,8:20,9:00,9:53,10:23,10:54,11:54,12:54,13:54,14:54,15:53,16:34,レ,17:13,17:43,18:13,18:43,19:13,19:43,20:13,20:43,21:08,21:35,22:19
越中荏原,6:01,6:39,7:06,7:40,8:23,9:03,9:56,10:26,10:59,11:59,12:59,13:59,14:59,15:56,16:39,レ,17:16,17:46,18:16,18:46,19:16,19:46,20:16,20:46,21:11,21:38,22:22
東新庄,6:04,6:41,7:09,7:46,8:28,9:06,9:59,10:29,11:03,12:03,13:03,14:03,15:03,16:02,16:41,レ,17:23,17:53,18:23,18:53,19:23,19:53,20:23,20:49,21:17,21:42,22:25
新庄田中,6:05,6:42,7:10,7:47,8:29,9:07,10:00,10:30,11:04,12:04,13:04,14:04,15:04,16:03,16:42,レ,17:24,17:54,18:24,18:54,19:24,19:54,20:24,20:50,21:18,21:43,22:26
稲荷町,6:08,6:46,7:14,7:51,8:32,9:11,10:03,10:33,11:07,12:07,13:07,14:07,15:07,16:06,16:45,レ,17:27,17:57,18:27,18:57,19:27,19:57,20:27,20:53,21:21,21:46,22:29
電鉄富山,6:11,6:49,7:17,7:54,8:35,9:14,10:06,10:36,11:10,12:10,13:10,14:10,15:10,16:09,16:48,17:05,17:30,18:00,18:30,19:00,19:30,20:00,20:30,20:56,21:24,21:49,22:32
