train_number,種別,行き先,岩峅寺,大川寺,上滝,大庄,月岡,開発,布市,小杉,上堀,朝菜町,南富山,大泉,不二越,栄町,稲荷町,電鉄富山
602,普通,電鉄富山,5:43,5:45,5:47,5:50,5:53,5:56,5:58,5:59,6:00,6:01,6:06,6:08,6:10,6:11,6:16,6:19
604,普通,電鉄富山,6:13,6:15,6:17,6:20,6:24,6:27,6:29,6:30,6:31,6:32,6:39,6:41,6:43,6:44,6:50,6:53
606,普通,電鉄富山,6:45,6:47,6:49,6:52,6:56,6:59,7:01,7:02,7:03,7:04,7:15,7:17,7:19,7:20,7:23,7:27
608,普通,電鉄富山,7:20,7:22,7:24,7:27,7:31,7:34,7:36,7:37,7:38,7:39,7:56,7:58,8:00,8:01,8:06,8:09
610,普通,電鉄富山,7:58,8:00,8:02,8:05,8:09,8:12,8:14,8:15,8:16,8:17,8:25,8:27,8:29,8:30,8:34,8:37
612,普通,電鉄富山,8:27,8:29,8:31,8:34,8:38,8:41,8:43,8:44,8:45,8:46,8:51,8:53,8:55,8:56,9:00,9:03
614,普通,電鉄富山,9:33,9:35,9:37,9:40,9:43,9:46,9:48,9:49,9:50,9:51,9:56,9:58,10:00,10:01,10:05,10:08
616,普通,電鉄富山,10:33,10:35,10:37,10:40,10:43,10:46,10:48,10:49,10:50,10:51,10:56,10:58,11:00,11:01,11:05,11:08
618,普通,電鉄富山,11:33,11:35,11:37,11:40,11:43,11:46,11:48,11:49,11:50,11:51,11:56,11:58,12:00,12:01,12:05,12:08
620,普通,電鉄富山,12:33,12:35,12:37,12:40,12:43,12:46,12:48,12:49,12:50,12:51,12:56,12:58,13:00,13:01,13:05,13:08
622,普通,電鉄富山,13:33,13:35,13:37,13:40,13:43,13:46,13:48,13:49,13:50,13:51,13:56,13:58,14:00,14:01,14:05,14:08
624,普通,電鉄富山,14:33,14:35,14:37,14:40,14:43,14:46,14:48,14:49,14:50,14:51,14:56,14:58,15:00,15:01,15:05,15:08
626,普通,電鉄富山,15:37,15:39,15:41,15:44,15:47,15:50,15:52,15:53,15:54,15:55,15:59,16:01,16:03,16:04,16:08,16:11
628,普通,電鉄富山,16:10,16:12,16:14,16:17,16:20,16:23,16:25,16:26,16:27,16:28,16:33,16:35,16:37,16:38,16:43,16:46
630,普通,電鉄富山,16:40,16:42,16:44,16:47,16:50,16:53,16:55,16:56,16:57,16:58,17:03,17:05,17:07,17:08,17:12,17:15
632,普通,電鉄富山,17:10,17:12,17:14,17:17,17:20,17:23,17:25,17:26,17:27,17:28,17:33,17:35,17:37,17:38,17:42,17:45
634,普通,電鉄富山,17:40,17:42,17:44,17:47,17:50,17:53,17:55,17:56,17:57,17:58,18:03,18:05,18:07,18:08,18:12,18:15
636,普通,電鉄富山,18:10,18:12,18:14,18:17,18:20,18:23,18:25,18:26,18:27,18:28,18:33,18:35,18:37,18:38,18:42,18:45
638,普通,電鉄富山,18:40,18:42,18:44,18:47,18:50,18:53,18:55,18:56,18:57,18:58,19:03,19:05,19:07,19:08,19:13,19:16
640,普通,電鉄富山,19:10,19:12,19:14,19:17,19:20,19:23,19:25,19:26,19:27,19:28,19:33,19:35,19:37,19:38,19:42,19:45
642,普通,電鉄富山,19:40,19:42,19:44,19:47,19:50,19:53,19:55,19:56,19:57,19:58,20:03,20:05,20:07,20:08,20:12,20:15
644,普通,電鉄富山,20:10,20:12,20:14,20:17,20:20,20:23,20:25,20:26,20:27,20:28,20:33,20:35,20:37,20:38,20:42,20:45
646,普通,電鉄富山,20:40,20:42,20:44,20:47,20:50,20:53,20:55,20:56,20:57,20:58,21:03,21:05,21:07,21:08,21:12,21:15
648,普通,電鉄富山,21:10,21:12,21:14,21:17,21:20,21:23,21:25,21:26,21:27,21:28,21:33,21:35,21:37,21:38,21:43,21:46
650,普通,電鉄富山,22:13,22:15,22:17,22:20,22:23,22:26,22:28,22:29,22:30,22:31,22:36,22:38,22:40,22:41,22:45,22:48
