train_number,種別,行き先,立山,本宮,有峰口,千垣,横江,岩峅寺,沢中山,釜ヶ淵,下段,榎町,五百石,田添,稚子塚,寺田,越中舟橋,越中三郷,越中荏原,東新庄,新庄田中,稲荷町,電鉄富山,_1
1302,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,5:41:00,5:43:00,5:45:00,5:47:00,5:49:00,5:52:00,5:54:00,5:55:00,5:59:00,6:01:00,6:04:00,6:07:00,6:10:00,6:11:00,6:14:00,6:17:00,
8304,普通,電鉄富山,5:40:00,5:51,5:54:00,5:56,6:02:00,6:10:00,6:12:00,6:14:00,6:16:00,6:18:00,6:22:00,6:24:00,6:25:00,6:32:00,6:34:00,6:37:00,6:41:00,6:44:00,6:45:00,6:48:00,6:51:00,
306,普通,電鉄富山,6:13:00,6:24,6:27:00,6:29,6:35:00,6:42:00,6:44:00,6:46:00,6:48:00,6:50:00,6:54:00,6:56:00,6:57:00,7:02:00,7:04:00,7:07:00,7:10:00,7:13:00,7:14:00,7:17:00,7:21:00,
1308,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,7:10:00,7:12:00,7:14:00,7:16:00,7:18:00,7:21:00,7:23:00,7:24:00,7:30:00,7:32:00,7:36:00,7:40:00,7:45:00,7:46:00,7:50:00,7:53:00,
310,普通,電鉄富山,7:22:00,7:33,7:36:00,7:38,7:44:00,7:50:00,7:52:00,7:54:00,7:56:00,7:58:00,8:05:00,8:07:00,8:08:00,8:15:00,8:17:00,8:20:00,8:23:00,8:27:00,8:28:00,8:31:00,8:34:00,
1312,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,8:32:00,8:34:00,8:36:00,8:38:00,8:40:00,8:44:00,8:46:00,8:47:00,8:53:00,8:55:00,8:58:00,9:01:00,9:06:00,9:07:00,9:10:00,9:13:00,
314,普通,電鉄富山,8:23:00,8:34,8:37:00,8:39,8:45:00,8:56:00,8:58:00,9:00:00,9:02:00,9:04:00,9:07:00,9:09:00,9:10:00,9:16:00,9:18:00,9:23:00,9:26:00,9:28:00,9:29:00,9:32:00,9:36:00,
316,普通,電鉄富山,9:29:00,9:40,9:43:00,9:45,9:51:00,10:00:00,10:02:00,10:04:00,10:06:00,10:08:00,10:11:00,10:13:00,10:14:00,10:18:00,10:20:00,10:23:00,10:26:00,10:29:00,10:30:00,10:33:00,10:36:00,
8318,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,10:31:00,10:33:00,10:35:00,10:37:00,10:39:00,10:42:00,10:44:00,10:45:00,10:49:00,10:51:00,10:54:00,10:59:00,11:03:00,11:04:00,11:07:00,11:10:00,
8320,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,11:30:00,11:32:00,11:34:00,11:36:00,11:38:00,11:41:00,11:43:00,11:44:00,11:49:00,11:51:00,11:54:00,11:59:00,12:03:00,12:04:00,12:07:00,12:10:00,
8322,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,12:30:00,12:32:00,12:34:00,12:36:00,12:38:00,12:41:00,12:43:00,12:44:00,12:49:00,12:51:00,12:54:00,12:59:00,13:03:00,13:04:00,13:07:00,13:10:00,
8324,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,13:30:00,13:32:00,13:34:00,13:36:00,13:38:00,13:41:00,13:43:00,13:44:00,13:49:00,13:51:00,13:54:00,13:59:00,14:03:00,14:04:00,14:07:00,14:10:00,
8326,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,14:30:00,14:32:00,14:34:00,14:36:00,14:38:00,14:41:00,14:43:00,14:44:00,14:48:00,14:50:00,14:53:00,14:57:00,15:02:00,15:03:00,15:07:00,15:10:00,
8328,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,15:30:00,15:32:00,15:34:00,15:36:00,15:38:00,15:45:00,15:47:00,15:48:00,15:55:00,15:57:00,16:03:00,16:06:00,16:09:00,16:10:00,16:13:00,16:16:00,
330,普通,電鉄富山,15:30:00,15:41,15:44:00,15:46,15:52:00,16:03:00,16:05:00,16:07:00,16:09:00,16:11:00,16:16:00,16:18:00,16:19:00,16:24:00,16:26:00,16:29:00,16:34:00,16:36:00,16:37:00,16:40:00,16:44:00,
1332,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,16:37:00,16:39:00,16:41:00,16:43:00,16:45:00,16:49:00,16:51:00,16:52:00,16:59:00,17:01:00,17:08:00,17:11:00,17:18:00,17:19:00,17:22:00,17:25:00,
334,普通,電鉄富山,16:38:00,16:49,16:52:00,16:54,17:00:00,17:06:00,17:08:00,17:10:00,17:12:00,17:14:00,17:20:00,17:22:00,17:23:00,17:30:00,17:32:00,17:38:00,17:41:00,17:48:00,17:49:00,17:52:00,17:55:00,
1336,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,17:38,17:40,17:42,17:44,17:46,17:51,17:53,17:54,17:58,18:01,18:08,18:11,18:18,18:19:00,18:22:00,18:25:00,
338,普通,電鉄富山,17:38:00,17:49,17:52:00,17:54,18:00:00,18:08,18:10,18:12,18:14,18:16,18:23,18:25,18:26,18:30,18:33,18:38,18:41,18:48,18:49,18:52,18:55:00,
1340,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,18:40,18:42,18:44,18:46,18:48,18:51,18:53,18:54,18:57,19:02,19:08,19:11,19:18,19:19,19:22,19:25:00,
342,普通,電鉄富山,18:38:00,18:49,18:52:00,18:54,19:00:00,19:05,19:07,19:09,19:11,19:13,19:19,19:21,19:22,19:26,19:32,19:38,19:41,19:48,19:49,19:52,19:55:00,
1344,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,19:40,19:42,19:44,19:46,19:48,19:52,19:54,19:55,19:59,20:02,20:08,20:11,20:18,20:19,20:22,20:25:00,
346,普通,電鉄富山,19:38:00,19:49,19:52:00,19:54,20:00:00,20:05,20:07,20:09,20:11,20:13,20:19,20:21,20:22,20:26,20:32,20:38,20:41,20:44,20:45,20:48,20:51:00,
1348,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,20:37,20:39,20:41,20:43,20:45,20:49,20:51,20:52,20:56,21:01,21:04,21:07,21:12,21:13:00,21:16:00,21:19:00,
350,普通,電鉄富山,20:38:00,20:49,20:52:00,20:54,21:00:00,21:05,21:07,21:09,21:11,21:13,21:16,21:18,21:19,21:22,21:27,21:30,21:33,21:37:00,21:38,21:41,21:44,
1352,普通,電鉄富山,NaN,NaN,NaN,NaN,NaN,22:00:00,22:02:00,22:04:00,22:06:00,22:08:00,22:11:00,22:13:00,22:14:00,22:18:00,22:20:00,22:23:00,22:29:00,22:31:00,22:32:00,22:35:00,22:38:00,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
